point,point_class,proposed_hasTimeseriesId,hasEntityId_TO_CONFIRM,meters
entity:SSC_01-001_Corridor_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_001_Corridor,entity:SSC_01-001_Corridor
entity:SSC_01-001_Corridor_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_001_Corridor,entity:SSC_01-001_Corridor
entity:SSC_01-002_Shell-Space_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_002_Shell_Space,entity:SSC_01-002_Shell-Space
entity:SSC_01-002_Shell-Space_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_002_Shell_Space,entity:SSC_01-002_Shell-Space
entity:SSC_01-003_Open-Space_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_003_Open_Space,entity:SSC_01-003_Open-Space
entity:SSC_01-003_Open-Space_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_003_Open_Space,entity:SSC_01-003_Open-Space
entity:SSC_01-004_Corridor_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_004_Corridor,entity:SSC_01-004_Corridor
entity:SSC_01-004_Corridor_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_004_Corridor,entity:SSC_01-004_Corridor
entity:SSC_01-005_Kitchen_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_005_Kitchen,entity:SSC_01-005_Kitchen
entity:SSC_01-005_Kitchen_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_005_Kitchen,entity:SSC_01-005_Kitchen
entity:SSC_01-006_Male-Toilet_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_006_Male_Toilet,entity:SSC_01-006_Male-Toilet
entity:SSC_01-006_Male-Toilet_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_006_Male_Toilet,entity:SSC_01-006_Male-Toilet
entity:SSC_01-007_Female-Toilet_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_007_Female_Toilet,entity:SSC_01-007_Female-Toilet
entity:SSC_01-007_Female-Toilet_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_007_Female_Toilet,entity:SSC_01-007_Female-Toilet
entity:SSC_01-008_AV-Room_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_008_AV_Room,entity:SSC_01-008_AV-Room
entity:SSC_01-008_AV-Room_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_008_AV_Room,entity:SSC_01-008_AV-Room
entity:SSC_01-009_Auditorium_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_009_Auditorium,entity:SSC_01-009_Auditorium
entity:SSC_01-009_Auditorium_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_009_Auditorium,entity:SSC_01-009_Auditorium
entity:SSC_01-010_Corridor_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_010_Corridor,entity:SSC_01-010_Corridor
entity:SSC_01-010_Corridor_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_010_Corridor,entity:SSC_01-010_Corridor
entity:SSC_01-011_Air-Lock_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_011_Air_Lock,entity:SSC_01-011_Air-Lock
entity:SSC_01-011_Air-Lock_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_011_Air_Lock,entity:SSC_01-011_Air-Lock
entity:SSC_01-012_Storage_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_012_Storage,entity:SSC_01-012_Storage
entity:SSC_01-012_Storage_CHW-Power-Thermal-Virtual-Meter-Demand,brick:Thermal_Power_Sensor,CWPWR_KWT_CALC,SSC_01_012_Storage,entity:SSC_01-012_Storage
entity:SSC_01-013_Corridor_CHW-Power-Thermal-Virtual-Meter-Consumption,brick:Thermal_Energy_Usage_Sensor,CWPWR_KWHT_CALC,SSC_01_013_Corridor,entity:SSC_01-013_Corridor
