change,subject,was,now
rec:feeds,entity:SSC_VAV0107,entity:SSC_03-002_Directors-Meeting-Room,entity:SSC_03-032_General-Office-Area
rec:feeds,entity:SSC_VAV0108,entity:SSC_03-002_Directors-Meeting-Room,entity:SSC_03-032_General-Office-Area
new room,entity:SSC_01-206_Corridor,,1.206 CORRIDOR
new room,entity:SSC_03-006A_Room,,3.006A ROOM
new room,entity:SSC_03-006B_Room,,3.006B ROOM
new room,entity:SSC_B-033_Closet,,B.033 CLOSET

feeds left untouched - the unit already serves a room other than the one it sits in
tag,entity,sits in,feeds
CHW_CHWP01,entity:SSC_CHW_CHWP01,entity:SSC_B1_014_VENT_PLANT,entity:CHWS-MAIN-LOOP
CHW_CHWP02,entity:SSC_CHW_CHWP02,entity:SSC_B1_014_VENT_PLANT,entity:CHWS-MAIN-LOOP
CHW_CHWP03,entity:SSC_CHW_CHWP03,entity:SSC_B1_014_VENT_PLANT,entity:CHWS-MAIN-LOOP
CHW_CHWP04,entity:SSC_CHW_CHWP04,entity:SSC_B1_014_VENT_PLANT,entity:CHWS-MAIN-LOOP

"locatedIn pointed at a placeholder entity, not a room, and was moved to the register's room"
tag,entity,pointed at,now
GEFB0001,entity:SSC_GEFB0001,entity:Level7_Office0367,entity:SSC_B-008_Vent-Plant
KEF-1F-0103,entity:SSC_KEF0103,entity:Level7_Office0367,entity:SSC_01-005_Kitchen
KEF0303,entity:SSC_KEF0303,entity:Level7_Office0367,entity:SSC_03-049_IT-Office
TEF-1F-0101,entity:SSC_TEF0101,entity:Level7_Office0367,entity:SSC_01-028_Corridor
TEF0102,entity:SSC_TEF0102,entity:Level7_Office0367,entity:SSC_01-206_Corridor
TEF0301,entity:SSC_TEF0301,entity:Level7_Office0367,entity:SSC_03-038_IT-Server-Room
TEF0302,entity:SSC_TEF0302,entity:Level7_Office0367,entity:SSC_03-045_Janitors-Closet
