building,tag,room in V1.2,room now,same room?,V1.2 says,the register says,the rule says
HQ,VAV0315,VP EDU SEC. 5.211,5.211 VP EDU CHPEXECSECRET,yes,Not Included,Included,Included
HQ,VAV0338,VP CAPITAL CONSUL. 06.027,6.027 VP CAPITAL CONSULTANT,yes,Not Included,Included,Included
HQ,VAV0339,VP CAPITAL CONSUL. 06.028,6.028 VP CAPITAL CONSULTANT,yes,Not Included,Included,Included
HQ,VAV0376,BD UNIT EXECU. 7.020,7.020 BD UNIT EXECUTIVE,yes,Not Included,Included,Included
HQ,VAV0377,BD UNIT EXECU. 7.021,7.021 BD UNIT EXECUTIVE,yes,Not Included,Included,Included
HQ,VAV0378,BD UNIT EXECU. 7.022,7.022 BD UNIT EXECUTIVE,yes,Not Included,Included,Included
HQ,VAV0379,BD UNIT EXECU. 7.023,7.023 BD UNIT EXECUTIVE,yes,Not Included,Included,Included
HQ,VAV0380,BD UNIT EXECU. 7.024,7.024 BD UNIT EXECUTIVE,yes,Not Included,Included,Included
HQ,VAV0381,BD UNIT EXECU. 7.025,7.025 BD UNIT EXECUTIVE,yes,Not Included,Included,Included
HQ,VAV0382,BD UNIT EXECU. 7.026,7.026 BD UNIT EXECUTIVE,yes,Not Included,Included,Included
HQ,VAV0383,BD UNIT EXECU. 7.027,7.027 BD UNIT EXECUTIVE,yes,Not Included,Included,Included
HQ,VAV0384,BD UNIT EXECU. 7.028,7.028 BD UNIT EXECUTIVE,yes,Not Included,Included,Included
HQ,VAV0421,PRESIDENT SUPP. SEC. 7.208,7.208 PRESIDENT SUPPORT SECRET,yes,Not Included,Included,Included
HQ,VAV0423,PRESIDENT EXEC. SEC. 7.209,7.209 PRESIDENT EXECSECRET,yes,Not Included,Included,Included
HQ,VAV0424,PRESIDENT EXEC. SEC. 7.210,7.210 PRESIDENT EXECSECRET,yes,Not Included,Included,Included
HQ,VAV0427,VICE CHAIRPERSON ENSULT 7.213,7.213 VICE CHAIRPERSON ENSULT,yes,Not Included,Included,Included
HQ,VAV0428,VICE CHAIRPERSON SEC. 7.214,7.214 VICE CHAIRSECRETARY,yes,Not Included,Included,Included
HQ,VAV0429,MEETING ROOM 7.215,7.215 VICE CHAIRPERSON MEETING ROOM,yes,Not Included,Included,Included
HQ,VAV0451,BMO EXEC. SEC. 9.018,9.018 BMO EXECSECRET,yes,Not Included,Included,Included
HQ,VAV0452,BMO EXEC. SEC. 9.019,9.019 BMO EXECSECRET,yes,Not Included,Included,Included
HQ,VAV0453,BMO EXEC. SEC. 9.020,9.020 BMO EXECSECRET,yes,Not Included,Included,Included
HQ,VAV0456,BMO EXEC. SEC. 9.023,9.023 BMO EXECSECRET,yes,Not Included,Included,Included
HQ,VAV0457,BMO EXEC. SEC. 9.024,9.024 BMO EXECSECRET,yes,Not Included,Included,Included
HQ,VAV0458,BMO EXEC. SEC. 9.025,9.025 BMO EXECSECRET,yes,Not Included,Included,Included
HQ,VAV0459,BMO EXEC. SEC. 9.025,9.025 BMO EXECSECRET,yes,Not Included,Included,Included
HQ,VAV0460,BMO SUPP. SEC. 9.026,9.026 BMO SUPPSECRET,yes,Not Included,Included,Included
HQ,VAV0461,BMO SUPP. SEC. 9.027,9.027 BMO SUPPSECRET,yes,Not Included,Included,Included
HQ,VAV0462,BMO SUPP. SEC. 9.028,9.028 BMO SUPPSECRET,yes,Not Included,Included,Included
