building,tag,room before,room after,source
HQ,FCU0055,SPA LOBBY 2.603,2.603 SPA LOBBY,D
HQ,FCU0056,IDF ROOM 2.512,2.512 MECHANICAL ROOM,D->E
HQ,FCU0057,SPA PLANT ROOM 2.302,2.302 SPA PLANT ROOM,D
HQ,FCU0058,SPA PLANT ROOM 2.302,2.311 SPA MALE HEAT EXP,J
HQ,FCU0059,IDF ROOM 3.531,3.531 IDF ROOM,J
HQ,FCU0060,IDF ROOM 3.531,3.531 IDF ROOM,D
HQ,FCU0061,IDF ROOM 3.512,3.512 IDF ROOM,J
HQ,FCU0062,COPY/PRINT 3.203,3.203 COPY PRINT,D
HQ,FCU0063,PRINT COPY 3.103,3.103 PRINT COPY,D
HQ,FCU0064,CORRIDOR BRIDGE 3.63,3.630 CORRIDOR BRIDGE,J
HQ,FCU0065,CORRIDOR BRIDGE 3.63,3.630 CORRIDOR BRIDGE,J
HQ,FCU0066,CORRIDOR BRIDGE 3.63,3.630 CORRIDOR BRIDGE,J
HQ,FCU0067,NORTH EAST ZONE,5.602 BRIDGE,H
HQ,FCU0068,NORTH EAST ZONE,5.602 BRIDGE,H
HQ,FCU0069,NORTH EAST ZONE,5.602 BRIDGE,H
HQ,FCU0070,NORTH EAST ZONE,5.602 BRIDGE,H
HQ,FCU0071,IDF ROOM 04.531,4.531 IDF ROOM,D
HQ,FCU0072,IDF ROOM 04.531,4.105 PANTRY,J
HQ,FCU0073,IDF ROOM 04.512,4.512 IDF ROOM,J
HQ,FCU0074,PRINT COPY 05.202,4.202 PRINT COPY,J
HQ,FCU0075,GSM ROOM 05.214,4.214 GSM ROOM,J
HQ,FCU0076,GSM ROOM 05.214,4.214 GSM ROOM,J
HQ,FCU0077,VP ADM TERRACE 04.701,4.701 VP ADM TERRACE,D
HQ,FCU0078,VP ADM TERRACE 04.701,4.701 VP ADM TERRACE,D
HQ,FCU0079,VP ADM TERRACE 04.701,4.701 VP ADM TERRACE,D
HQ,FCU0080,VP ADM TERRACE 04.701,4.701 VP ADM TERRACE,D
HQ,FCU0081,TERRACE 04.702,4.702 TERRACE,D
HQ,FCU0082,TERRACE 04.703,4.703 TERRACE,D
HQ,FCU0083,TERRACE 04.702,4.702 TERRACE,D
HQ,FCU0084,PRINT COPY 04.110,4.110 PRINT COPY,D
HQ,FCU0085,IDF ROOM 5.531,5.531 IDF ROOM,J
HQ,FCU0086,IDF ROOM 5.531,5.531 IDF ROOM,J
HQ,FCU0087,IDF ROOM 5.512,5.512 IDF ROOM,J
HQ,FCU0088,PRINT COPY 5.103,5.103 PRINT COPY,D
HQ,FCU0089,BRIDGE 06.604,6.604 BRIDGE CORRIDOR,D->E
HQ,FCU0090,BRIDGE 06.604,6.604 BRIDGE CORRIDOR,D->E
HQ,FCU0091,BRIDGE 06.604,6.604 BRIDGE CORRIDOR,D->E
HQ,FCU0092,BRIDGE 5.602,5.602 BRIDGE,D
HQ,FCU0093,BRIDGE 5.602,5.602 BRIDGE,D
HQ,FCU0094,BRIDGE 5.602,5.602 BRIDGE,D
HQ,FCU0095,BRIDGE 5.602,5.602 BRIDGE,D
HQ,FCU0096,IDF ROOM 06.531,6.531 IDF ROOM,J
HQ,FCU0097,NOT FOUND ON THE DRAWING OR SCHEDULE,B1.512 IDF ROOM,J
HQ,FCU0098,IDF ROOM 06.512,6.512 IDF ROOM,J
HQ,FCU0099,BRIDGE 07.602,7.602 BRIDGE,D
HQ,FCU0100,BRIDGE 07.602,7.602 BRIDGE,D
HQ,FCU0101,BRIDGE 07.602,7.602 BRIDGE,D
HQ,FCU0102,PRINT COPY 06.104,6.104 PRINT COPY,D
HQ,FCU0103,PRINT COPY 06.208,6.208 PRINT COPY,D
HQ,FCU0104,IDF ROOM 7.531,7.531 IDF ROOM,J
HQ,FCU0105,IDF ROOM 7.531,7.531 IDF ROOM,J
HQ,FCU0106,IDF ROOM 7.512,7.512 IDF ROOM,J
HQ,FCU0107,PRINT COPY 7.101,7.101 PRINT COPY,D
HQ,FCU0108,PRINT COPY 7.104,7.104 PRINT COPY,D
HQ,FCU0109,IDF ROOM 8.512,8.512 IDF ROOM,J
HQ,FCU0110,IDF ROOM 9.531,9.531 IDF ROOM,D
HQ,FCU0111,IDF ROOM G.512,G.512 IDF ROOM,D
HQ,FCU0112,IDF ROOM 9.512,9.512 IDF ROOM,J
HQ,FCU0113,IDF ROOM 10.531,10.531 IDF ROOM,J
HQ,FCU0114,STAFF LOUNGE STORAGE 1.114,1.114 STAFF LOUNGE STORAGE,J
HQ,FCU0115,IDF ROOM 10.512,10.512 IDF ROOM,J
HQ,FCU0116,PRINT COPY 10.038,10.038 PRINT COPY,D
HQ,FCU0117,PRINT COPY 10.014,10.014 PRINT COPY,D
HQ,FCU0118,TRANSLATOR ROOM 10.111,10.111 AV ROOM,D->E
HQ,FCU0119,IDF ROOM 11.531,11.531 IDF ROOM,J
HQ,FCU0120,IDF ROOM 11.531,11.531 IDF ROOM,J
HQ,FCU0121,ELECT. CLOSET 11.110,11.110 ELECTRIC CLOSET,J
HQ,FCU0122,MCC/ELEC ROOM 11.106,11.108 PRINT COPY ROOM,J
HQ,FCU0123,PRINT COPY ROOM 11.108,11.106 MCC ELEC ROOM,J
HQ,FCU0124,AV ROOM 11.107,11.107 AV IT,J->E
HQ,FCU0125,IDF ROOM 11.512,11.512 IDF ROOM,J
HQ,FCU0131,ROOF PLANT / WALKWAY (NEAR CSRR-0008),RF.002 ROOF PLANT WALKWAY,D->E
HQ,FCU0132,VISITOR CENTER 9.101,9.112 AV ROOM IN VISITOR CENTER,H
HQ,VAV0001,STAFF ENTRANCE B.004,B1.103 STAFF LOBBY,H
HQ,VAV0002,STAFF LOBBY B.103,B1.103 STAFF LOBBY,D
HQ,VAV0003,STAFF LOBBY B.103,B1.103 STAFF LOBBY,D
HQ,VAV0004,SPORT SPACE B.110,B1.110 MALE BREAK ROOM,H
HQ,VAV0005,LOBBY B.116,B1.116 SHEIKHA LOBBY,D->E
HQ,VAV0006,LOBBY B.116,B1.116 SHEIKHA LOBBY,D->E
HQ,VAV0007,CONTROL ROOM G.008,G.008 CONTROL ROOM,J
HQ,VAV0008,PR & MARKET MANAGER G.009,G.009 PR AND MARKET MANAGER,D
HQ,VAV0009,PR & MARKET STAFF G.010,G.010 PR AND MARKET STAFF,J
HQ,VAV0011,PR & MARK. MANA. G.011,G.011 PR AND MARKET MANAGER,D->E
HQ,VAV0012,PR & MARKET STAFF G.012,G.012 PR AND MARKET STAFF,J
HQ,VAV0013,VISITOR OFF. G.014,G.014 VISITOR CENT OFFICE,D->E
HQ,VAV0014,PR & MARKET STAFF G.015,G.015 PR AND MARKET STAFF,J
HQ,VAV0015,PR & MAR. STAFF G.018,G.018 PR AND MARKET STAFF,D->E
HQ,VAV0016,PR & MAR. STAFF G.019,G.019 PR AND MARKET STAFF,D->E
HQ,VAV0017,PR & MAR. STAFF G.020,G.020 PR AND MARKET STAFF,D->E
HQ,VAV0018,PR & MAR. STAFF G.021,G.021 PR AND MARKET STAFF,D->E
HQ,VAV0019,PR & MARKET SEC. G.022,G.022 PR AND MARKET SECRETARY,D->E
