row,building,tag,room before,room after,chosen from,kind of change
269,HQ,VAV0109,DIRECTOR ENSUIT 2.018,2.018 SUPPSERV DIRECTOR ENSUIT,D->E,"same room, name reordered"
270,HQ,VAV0110,SUPP. SER. ADMIN 2.019,2.019 SUPPSERVADMINIST,D->E,"same room, name reordered"
271,HQ,VAV0111,SUPP. SER. ADMIN 2.020,2.020 SUPPSERVADMINIST,D->E,"same room, name reordered"
272,HQ,VAV0112,SUPP. SER. ADMIN 2.021,2.021 SUPPSERVADMINIST,D->E,"same room, name reordered"
273,HQ,VAV0113,SUPP. SER. SECRETARY 2.022,2.022 SUPP SER SECRETARY,D,"same room, name reordered"
274,HQ,VAV0114,SUPP. SER. ADMIN 2.023,2.023 SUPPSERVADMINIST,D->E,"same room, name reordered"
275,HQ,VAV0115,SUPP. SER. ADMIN 2.024,2.024 SUPPSERVADMINIST,D->E,"same room, name reordered"
276,HQ,VAV0116,SUPP. SER. ADMIN 2.025,2.025 SUPPSERVADMINIST,D->E,"same room, name reordered"
277,HQ,VAV0117,SUPP. SER. SECRETARY 2.026,2.026 SUPP SER SECRETARY,D,"same room, name reordered"
278,HQ,VAV0118,SUPP. SER. ADMIN 2.027,2.027 SUPPSERVADMINIST,D->E,"same room, name reordered"
279,HQ,VAV0119,SUPP. SER. ADMIN 2.028,2.028 SUPPSERVADMINIST,D->E,"same room, name reordered"
280,HQ,VAV0120,SUPP. SER. ADMIN 2.029,2.029 SUPPSERVADMINIST,D->E,"same room, name reordered"
281,HQ,VAV0121,SUPP. SER. SECRETARY 2.030,2.030 SUPP SER SECRETARY,D,"same room, name reordered"
282,HQ,VAV0122,SUPP. SER. ADMIN 2.031,2.031 SUPPSERVADMINIST,D->E,"same room, name reordered"
283,HQ,VAV0123,SUPP. SER. ADMIN 2.032,2.032 SUPPSERVADMINIST,D->E,"same room, name reordered"
284,HQ,VAV0124,SUPP. SER. ADMIN 2.033,2.033 SUPPSERVADMINIST,D->E,"same room, name reordered"
285,HQ,VAV0125,SUPP. SER. SECRETARY 2.034,2.034 SUPP SER SECRETARY,D,"same room, name reordered"
286,HQ,VAV0126,SUPP. SER. ADMIN 2.035,2.035 SUPPSERVADMINIST,D->E,"same room, name reordered"
287,HQ,VAV0127,SUPP. SER. ADMIN 2.036,2.036 SUPPSERVADMINIST,D->E,"same room, name reordered"
288,HQ,VAV0128,OFFICE SPACE 2.110A,2.110A OFFICE SPACE,D,"same room, name reordered"
289,HQ,VAV0129,02.CORIDOR,2.601 S TOWER CORRIDOR,D->E,room number added
290,HQ,VAV0130,02.CORIDOR,2.601 S TOWER CORRIDOR,D->E,room number added
291,HQ,VAV0131,FEMALE PRAYER ROOM 2.109,2.109 SHELL SPACE,D->E,"same room, name reordered"
292,HQ,VAV0132,MEETING ROOM 2.108,2.108 SUPPSERV MEETING ROOM,D->E,"same room, name reordered"
293,HQ,VAV0133,MEETING ROOM 2.108,2.108 SUPPSERV MEETING ROOM,D->E,"same room, name reordered"
294,HQ,VAV0134,LOUNGE 2.105,2.105 LOUNGE,D,"same room, name reordered"
295,HQ,VAV0135,CONSULTANT SPACE 2.104,2.104 CONSULTANTS SPACE OTHERS,D->E,"same room, name reordered"
296,HQ,VAV0136,CONSULTANT SPACE 2.104,2.104 CONSULTANTS SPACE OTHERS,D->E,"same room, name reordered"
297,HQ,VAV0137,CONSULTANT SPACE 2.102,2.102 CONSULTANTS SPACE OTHERS,D->E,"same room, name reordered"
298,HQ,VAV0138,SUPP. SER. SECRETARY 2.017,2.017 SUPP SER SECRETARY,D,"same room, name reordered"
299,HQ,VAV0139,SUPP. SER. ADMIN 2.016,2.016 SUPPSERVADMINIST,D->E,"same room, name reordered"
300,HQ,VAV0140,SUPP. SER. ADMIN 2.015,2.015 SUPPSERVADMINIST,D->E,"same room, name reordered"
301,HQ,VAV0141,SUPP. SER. ADMIN 2.014,2.014 SUPPSERVADMINIST,D->E,"same room, name reordered"
302,HQ,VAV0142,SUPP. SER. SECRETARY 2.013,2.013 SUPP SER SECRETARY,D,"same room, name reordered"
303,HQ,VAV0143,SUPP. SER. ADMIN 2.012,2.012 SUPPSERVADMINIST,D->E,"same room, name reordered"
304,HQ,VAV0144,SUPP. SER. ADMIN 2.011,2.011 SUPPSERVADMINIST,D->E,"same room, name reordered"
305,HQ,VAV0145,SUPP. SER. ADMIN 2.010,2.010 SUPPSERVADMINIST,D->E,"same room, name reordered"
306,HQ,VAV0146,SUPP. SER. SECRETARY 2.009,2.009 SUPP SER SECRETARY,D,"same room, name reordered"
307,HQ,VAV0147,DEBATE EXECUTIVE 2.008,2.008 DOHA DEBATE EXECUTIVE,D->E,"same room, name reordered"
308,HQ,VAV0148,DEBATE EXECUTIVE 2.007,2.007 DOHA DEBATE EXECUTIVE,D->E,"same room, name reordered"
309,HQ,VAV0149,DEBATE EXECUTIVE 2.006,2.006 DOHA DEBATE EXECUTIVE,D->E,"same room, name reordered"
310,HQ,VAV0150,DEBATE EXECUTIVE 2.005,2.005 DOHA DEBATE EXECUTIVE,D->E,"same room, name reordered"
311,HQ,VAV0151,DEBATE SECRETARY 2.004,2.004 DOHA DEBATE SECRETARY,D->E,"same room, name reordered"
312,HQ,VAV0152,DEBATE EXECUTIVE 2.003,2.003 DOHA DEBATE EXECUTIVE,D->E,"same room, name reordered"
313,HQ,VAV0153,DEBATE EXECUTIVE 2.002,2.002 DOHA DEBATE EXECUTIVE,D->E,"same room, name reordered"
314,HQ,VAV0154,STORAGE ROOM 2.001,2.001 STORAGE ROOM,D,"same room, name reordered"
315,HQ,VAV0155,OFFICE SPACE 2.101A,2.101A OFFICE SPACE,D,"same room, name reordered"
316,HQ,VAV0156,02.CORIDOR,2.601 S TOWER CORRIDOR,D->E,room number added
317,HQ,VAV0157,HR IMMIG STAFF 3.017,3.017 HR IMMIG STAFF,D,"same room, name reordered"
318,HQ,VAV0158,HR IMMIG STAFF 3.018,3.018 HR IMMIG STAFF,D,"same room, name reordered"
319,HQ,VAV0159,HR IMMIG STAFF 3.019,3.019 HR IMMIG STAFF,D,"same room, name reordered"
320,HQ,VAV0160,HR IMMIG STAFF 3.020,3.020 HR IMMIG STAFF,D,"same room, name reordered"
321,HQ,VAV0161,HR IMMIG STAFF 3.021,3.021 HR IMMIG STAFF,D,"same room, name reordered"
322,HQ,VAV0162,HR IMMIG STAFF 3.022,3.022 HR IMMIG SECRETARY,D->E,"same room, name reordered"
323,HQ,VAV0163,HR IMMIG STAFF 3.023,3.023 HR IMMIG STAFF,D,"same room, name reordered"
324,HQ,VAV0164,HR IMMIG STAFF 3.024,3.024 HR IMMIG STAFF,D,"same room, name reordered"
325,HQ,VAV0165,HR IMMIG STAFF 3.025,3.025 HR IMMIG STAFF,D,"same room, name reordered"
326,HQ,VAV0166,HR IMMIG STAFF 3.026,3.026 HR IMMIG STAFF,D,"same room, name reordered"
327,HQ,VAV0167,HR IMMIG STAFF 3.027,3.027 HR IMMIG STAFF,D,"same room, name reordered"
328,HQ,VAV0168,HR IMMIG STAFF 3.028,3.028 HR IMMIG STAFF,D,"same room, name reordered"
329,HQ,VAV0169,HR IMMIG STAFF 3.029,3.029 HR IMMIG STAFF,D,"same room, name reordered"
330,HQ,VAV0170,HR IMMIG STAFF 3.030,3.030 HR IMMIG STAFF,D,"same room, name reordered"
331,HQ,VAV0171,HR IMMIG STAFF 3.031,3.031 HR IMMIG STAFF,D,"same room, name reordered"
332,HQ,VAV0172,HR IMMIG STAFF 3.032,3.032 HR IMMIG SECRETARY,D->E,"same room, name reordered"
333,HQ,VAV0173,MEETING ROOM 3.033,3.033 MEETING ROOM,J,"same room, name reordered"
334,HQ,VAV0174,MEETING ROOM 3.033,3.033 MEETING ROOM,J,"same room, name reordered"
335,HQ,VAV0175,OFFICE SPACE 3.105B,3.105B OFFICE SPACE,D,"same room, name reordered"
336,HQ,VAV0176,03.CORIDOR,3.601 S TOWER CORRIDOR,D->E,room number added
337,HQ,VAV0177,ABLUTION ROOM 3.36,3.360 ABLUTION ROOM,D,DIFFERENT ROOM
338,HQ,VAV0178,FEMALE PRAYER ROOM 3.105A,3.105A FEMALE PRAYER ROOM,J,"same room, name reordered"
339,HQ,VAV0179,03.CORIDOR,3.601 S TOWER CORRIDOR,D->E,room number added
340,HQ,VAV0180,LOUNGE 3.001,3.001 LOUNGE,J,"same room, name reordered"
341,HQ,VAV0181,CONSULTANT SPACE TRAINEES 3.102,3.102 CONSULTANT SPACE TRAINEES,J,"same room, name reordered"
342,HQ,VAV0182,CONSULTANT SPACE TRAINEES 3.102,3.102 CONSULTANT SPACE TRAINEES,J,"same room, name reordered"
343,HQ,VAV0183,CONSULTANT SPACE TRAINEES 3.102,3.102 CONSULTANT SPACE TRAINEES,J,"same room, name reordered"
344,HQ,VAV0184,HR IMMG SECRETARY 3.104,3.104 HR IMMG SECRETARY,D,"same room, name reordered"
345,HQ,VAV0185,HR IMMIG STAFF 3.012,3.012 HR IMMIG STAFF,D,"same room, name reordered"
346,HQ,VAV0186,HR IMMIG STAFF 3.013,3.013 HR IMMIG STAFF,D,"same room, name reordered"
347,HQ,VAV0187,HR IMMIG STAFF 3.014,3.014 HR IMMIG STAFF,D,"same room, name reordered"
348,HQ,VAV0188,HR IMMIG STAFF 3.015,3.015 HR IMMIG STAFF,D,"same room, name reordered"
349,HQ,VAV0189,HR IMMIG STAFF 3.016,3.016 HR IMMIG STAFF,D,"same room, name reordered"
350,HQ,VAV0190,HR IMMIG STAFF 3.003,3.003 HR IMMIG STAFF,D,"same room, name reordered"
351,HQ,VAV0191,HR IMMIG STAFF 3.004,3.004 HR IMMIG STAFF,D,"same room, name reordered"
352,HQ,VAV0192,HR IMMIG STAFF 3.005,3.005 HR IMMIG STAFF,D,"same room, name reordered"
353,HQ,VAV0193,HR IMMIG STAFF 3.006,3.006 HR IMMIG STAFF,D,"same room, name reordered"
354,HQ,VAV0194,HR IMMIG STAFF 3.007,3.007 HR IMMIG STAFF,D,"same room, name reordered"
355,HQ,VAV0195,HR IMMIG STAFF 3.008,3.008 HR IMMIG STAFF,D,"same room, name reordered"
356,HQ,VAV0196,HR IMMIG STAFF 3.009,3.009 HR IMMIG STORAGE,D->E,"same room, name reordered"
357,HQ,VAV0197,HR IMMIG STAFF 3.010,3.010 HR IMMIG STAFF,D,"same room, name reordered"
358,HQ,VAV0198,HR IMMIG STAFF 3.011,3.011 HR IMMIG STAFF,D,"same room, name reordered"
359,HQ,VAV0199,OFFICE SPACE 3.101,3.101 SHELL SPACE,D->E,"same room, name reordered"
360,HQ,VAV0200,HR IMMIG STAFF 3.002,3.002 HR IMMIG STAFF,D,"same room, name reordered"
361,HQ,VAV0201,03.CORIDOR,3.601 S TOWER CORRIDOR,D->E,room number added
362,HQ,VAV0202,OFFICE SPACE 3.202A,3.202A OFFICE SPACE,D,"same room, name reordered"
363,HQ,VAV0203,OFFICE SPACE 3.202B,3.202B OFFICE SPACE,D,"same room, name reordered"
364,HQ,VAV0204,HR IMMIGRATION 3.205,3.205 HR IMMIG IMMIGRATION,D->E,"same room, name reordered"
365,HQ,VAV0205,HR IMMIG MANAGER 3.206,3.206 HR IMMIG MANAGER,D,"same room, name reordered"
366,HQ,VAV0206,HR IMMIG MANAGER 3.207,3.207 HR IMMIG MANAGER,D,"same room, name reordered"
367,HQ,VAV0207,HR IMMIG MANAGER 3.208,3.208 HR IMMIG MANAGER,D,"same room, name reordered"
368,HQ,VAV0208,HR IMMIG MANAGER 3.209,3.209 HR IMMIG MANAGER,D,"same room, name reordered"
369,HQ,VAV0209,HR IMMIG OFFICER 3.210,3.210 HR IMMIG OFFICER,D,"same room, name reordered"
370,HQ,VAV0210,HR IMMIG OFFICER 3.210,3.210 HR IMMIG OFFICER,J,"same room, name reordered"
371,HQ,VAV0211,HR IMMIG MANAGER 3.211,3.211 HR IMMIG MANAGER,D,"same room, name reordered"
372,HQ,VAV0212,HR IMMIG SEC. 3.212,3.212 HR IMMIG SECRETARIES,D->E,"same room, name reordered"
373,HQ,VAV0213,HR IMMIG DIR. ENSUIT 3.213,3.213 HR IMMIG DIR ENSUIT,D,"same room, name reordered"
374,HQ,VAV0214,IT DIR. ENSUIT 3.214,3.214 IT SECRETARY,D->E,"same room, name reordered"
375,HQ,VAV0215,IT DIR. ENSUIT 3.215,3.215 IT DIR ENSUIT,D,"same room, name reordered"
376,HQ,VAV0216,PROC. CONTR. SECRETARY 3.216,3.216 PROC CONTR SECRETARY,D,"same room, name reordered"
377,HQ,VAV0217,PROC. & CONTR. DIR. E 3.201,3.201 PROC AND CONTRLDIRENSUIT,D->E,"same room, name reordered"
378,HQ,VAV0218,PROC. & CONTR. MEETING ROOM 3.301,3.301 PROC AND CONTR MEETING ROOM,D,"same room, name reordered"
379,HQ,VAV0219,PROC. & CONTR. MEETING ROOM 3.301,3.301 PROC AND CONTR MEETING ROOM,J,"same room, name reordered"
380,HQ,VAV0220,HR IMMG. MEETING ROOM 3.302,3.302 HR IMMG MEETING ROOM,D,"same room, name reordered"
381,HQ,VAV0221,SOUTH EAST CORRIDOR 3.602,3.602 E TOWER CORRIDOR,J->E,"same room, name reordered"
382,HQ,VAV0222,STR. PL. DIR. ENSUIT 04.004,4.004 STR PL DIR ENSUIT,J,"same room, level prefix differs"
383,HQ,VAV0223,STR. PL. DIR. MEETING ROOM 04.005,4.005 STR PL DIR MEETING ROOM,D,"same room, level prefix differs"
384,HQ,VAV0224,STR. PL. DIR. MANAGER 04.006,4.006 STR PL DIR MANAGER,J,"same room, level prefix differs"
385,HQ,VAV0225,STR. PL. DIR. MANAGER 04.007,4.007 STR PL DIR MANAGER,J,"same room, level prefix differs"
386,HQ,VAV0226,STR. PL. DIR. MANAGER 04.008,4.008 STR PL DIR MANAGER,J,"same room, level prefix differs"
387,HQ,VAV0227,STR. PL. DIR. HEAD OF PL. 04.009,4.009 STR PL DIR HEAD OF PL,J,"same room, level prefix differs"
388,HQ,VAV0228,STR. PL. DIR. HEAD OF PL. 04.010,4.010 STR PL DIR HEAD OF PL,J,"same room, level prefix differs"
389,HQ,VAV0229,STR. PL. DIR. HEAD OF PL. 04.011,4.011 STR PL DIR HEAD OF PL,J,"same room, level prefix differs"
390,HQ,VAV0230,STR. PL. DIR. HEAD OF PL. 04.012,4.012 STR PL DIR HEAD OF PL,J,"same room, level prefix differs"
391,HQ,VAV0231,STR. PL. DIR. HEAD OF PL. 04.013,4.013 STR PL DIR HEAD OF PL,J,"same room, level prefix differs"
392,HQ,VAV0232,STR. PL. DIR. MANAGER 04.014,4.014 STR PL DIR MANAGER,J,"same room, level prefix differs"
393,HQ,VAV0233,OFFICE SPACE 04.015C,4.015A OFFICE SPACE,J,DIFFERENT ROOM
394,HQ,VAV0234,OFFICE SPACE 04.015A,4.015C OFFICE SPACE,J,DIFFERENT ROOM
395,HQ,VAV0235,S-TOWER CORRIDOR 4.601,4.601 S TOWER CORRIDOR,D,"same room, name reordered"
396,HQ,VAV0236,VP EDU STORAGE 04.109,4.109 VP EDU STORAGE,D,"same room, level prefix differs"
397,HQ,VAV0237,S-TOWER CORRIDOR 4.601,4.601 S TOWER CORRIDOR,D,"same room, name reordered"
398,HQ,VAV0238,STR. PL. DIR. TECH. STAFF 04.108,4.108 STR PL DIR ARCHIVE ROOM,D->E,"same room, level prefix differs"
399,HQ,VAV0239,STR. PL. DIR. TECH. STAFF 04.107,4.107 STR PL DIR TECH STAFF,D,"same room, level prefix differs"
400,HQ,VAV0240,WAITING LOUNGE 04.104,4.104 WAITING LOUNGE,J,"same room, level prefix differs"
401,HQ,VAV0241,WAITING LOUNGE 04.104,4.104 WAITING LOUNGE,J,"same room, level prefix differs"
402,HQ,VAV0242,STR. PL. DIR. MANAGER 04.002,4.002 STR PL DIR MANAGER,D,"same room, level prefix differs"
403,HQ,VAV0243,STR. PL. DIR. EXEC. SECRE. 04.003,4.003 STR PL DIR EXEC SECRE,D,"same room, level prefix differs"
404,HQ,VAV0244,OFFICE SPACE 04.001B,4.001B OFFICE SPACE,D,"same room, level prefix differs"
405,HQ,VAV0245,OFFICE SPACE 04.001D,4.001D OFFICE SPACE,D,"same room, level prefix differs"
406,HQ,VAV0246,OFFICE SPACE 04.001F,4.001F OFFICE SPACE,D,"same room, level prefix differs"
407,HQ,VAV0247,OFFICE SPACE 04.001G,4.001G OFFICE SPACE,D,"same room, level prefix differs"
408,HQ,VAV0248,STORAGE SPACE 04.103,4.103 STORAGE SPACE,J,"same room, level prefix differs"
409,HQ,VAV0249,OFFICE SPACE 04.102,4.102 SHELL SPACE,D->E,"same room, level prefix differs"
410,HQ,VAV0250,OFFICE SPACE 04.101,4.101 SHELL SPACE,D->E,"same room, level prefix differs"
411,HQ,VAV0251,S-TOWER CORRIDOR 4.601,4.601 S TOWER CORRIDOR,D,"same room, name reordered"
412,HQ,VAV0252,OFFICE SPACE 04.201,4.201 SHELL SPACE,D->E,"same room, level prefix differs"
413,HQ,VAV0253,OFFICE SPACE 04.204,4.204 SHELL SPACE,D->E,"same room, level prefix differs"
414,HQ,VAV0254,VP ADM MANAGER 04.205,4.205 VP ADM MANAGER,D,"same room, level prefix differs"
415,HQ,VAV0255,VP ADM MANAGER 04.206,4.206 VP ADM MANAGER,D,"same room, level prefix differs"
416,HQ,VAV0256,VP ADM SEC. 04.208,4.208 VP ADM EXECSECRET,D->E,"same room, level prefix differs"
417,HQ,VAV0257,VP ADM SEC. 04.208,4.208 VP ADM EXECSECRET,J->E,"same room, level prefix differs"
418,HQ,VAV0258,VP ADM MANAGER 04.209,4.209 VP ADM MANAGER,D,"same room, level prefix differs"
419,HQ,VAV0259,VP ADM MANAGER 04.210,4.210 VP ADM MANAGER,D,"same room, level prefix differs"
420,HQ,VAV0260,VP ADM MANAGER 04.211,4.211 VP ADM MANAGER,D,"same room, level prefix differs"
421,HQ,VAV0261,VP ADM PERS. ASS. 04.212,4.212 VP ADM PERSASSIST,D->E,"same room, level prefix differs"
422,HQ,VAV0262,VP ADM ENSUIT 04.213,4.213 VP ADM ENSUIT,D,"same room, level prefix differs"
423,HQ,VAV0263,VP ADM MEETING ROOM 04.301,4.301 VP ADM MEETING ROOM,D,"same room, level prefix differs"
424,HQ,VAV0264,VP ADM MEETING ROOM 04.301,4.301 VP ADM MEETING ROOM,J,"same room, level prefix differs"
425,HQ,VAV0265,E-TOWER CORRIDOR 4.603,4.603 E TOWER CORRIDOR,D,"same room, name reordered"
426,HQ,VAV0266,E-TOWER CORRIDOR 4.603,4.603 E TOWER CORRIDOR,D,"same room, name reordered"
427,HQ,VAV0267,VP EDU DIR ENSUIT 5.012,5.012 VP EDU OFFICE DIRECTOR ENSUIT,D->E,"same room, name reordered"
428,HQ,VAV0268,VP EDU SECR. 5.013,5.013 VP EDU SECRETARY,D->E,"same room, name reordered"
429,HQ,VAV0269,VP EDU ASSIS. 5.014,5.014 VP EDU ASSISTANT,D->E,"same room, name reordered"
430,HQ,VAV0270,VP EDU ASSIS. 5.015,5.015 VP EDU ASSISTANT,D->E,"same room, name reordered"
431,HQ,VAV0271,VP EDU ASSIS. 5.016,5.016 VP EDU ASSISTANT,D->E,"same room, name reordered"
432,HQ,VAV0272,VP EDU ASSIS. 5.017,5.017 VP EDU ASSISTANT,D->E,"same room, name reordered"
433,HQ,VAV0273,VP EDU OFF. 5.018,5.018 VP EDU OFFICERS,D->E,"same room, name reordered"
434,HQ,VAV0274,VP EDU OFF. 5.019,5.019 VP EDU OFFICERS,D->E,"same room, name reordered"
435,HQ,VAV0275,VP EDU OFF. 5.020,5.020 VP EDU OFFICERS,D->E,"same room, name reordered"
436,HQ,VAV0276,VP EDU OFF. 5.021,5.021 VP EDU OFFICERS,D->E,"same room, name reordered"
437,HQ,VAV0277,VP EDU OFF. 5.022,5.022 VP EDU OFFICERS,D->E,"same room, name reordered"
438,HQ,VAV0278,VP EDU OFF. 5.023,5.023 VP EDU OFFICERS,D->E,"same room, name reordered"
439,HQ,VAV0279,VP EDU SEC. 5.024,5.024 VP EDU SECRETARY,D->E,"same room, name reordered"
440,HQ,VAV0280,VP EDU DIR ENSUIT 5.025,5.025 VP EDU OFFICE DIRECTOR ENSUIT,D->E,"same room, name reordered"
441,HQ,VAV0281,VP EDU ASS. 5.026,5.026 VP EDU ASSISTANT,D->E,"same room, name reordered"
442,HQ,VAV0282,S-TOWER CORRIDOR 5.601,5.601 S TOWER CORRIDOR,D,"same room, name reordered"
443,HQ,VAV0283,VP EDU OFF. 5.110,5.110 VP EDU OFFICERS,D->E,"same room, name reordered"
444,HQ,VAV0284,VP EDU ASS. 5.109,5.109 ELECTRICAL CABINET,D->E,"same room, name reordered"
445,HQ,VAV0285,VP EDU SEC. 5.108,5.108 VP EDU ASSISTANT,D->E,"same room, name reordered"
446,HQ,VAV0286,VP EDU SEC. 5.107,5.107 VP EDUCATION SUPPSECRET,D->E,"same room, name reordered"
447,HQ,VAV0287,VP EDU SEC. 5.107,5.107 VP EDUCATION SUPPSECRET,J->E,"same room, name reordered"
448,HQ,VAV0288,VP EDU LOUNGE WAITING 5.104,5.104 VP EDU LOUNGE WAITING,J,"same room, name reordered"
449,HQ,VAV0289,VP EDU LOUNGE WAITING 5.104,5.104 VP EDU LOUNGE WAITING,J,"same room, name reordered"
450,HQ,VAV0290,VP EDU OFFICERS 5.009,5.009 VP1 VP EDU OFFICERS,J->E,"same room, name reordered"
451,HQ,VAV0291,VP EDU OFFICERS 5.010,5.010 VP EDU OFFICERS,J,"same room, name reordered"
452,HQ,VAV0292,VP EDU ASSISTANT 5.011,5.011 VP EDU ASSISTANT,J,"same room, name reordered"
453,HQ,VAV0293,VP EDU OFF. DIR ENSUIT 5.002,5.002 VP EDU OFF DIR ENSUIT,D,"same room, name reordered"
454,HQ,VAV0294,VP EDU SECRE. 5.003,5.003 VP EDU SECRETARY,D->E,"same room, name reordered"
455,HQ,VAV0295,VP EDU ASSISTANT 5.004,5.004 VP EDU ASSISTANT,J,"same room, name reordered"
456,HQ,VAV0296,VP EDU OFFICERS 5.005,5.005 VP EDU OFFICERS,J,"same room, name reordered"
457,HQ,VAV0297,VP EDU OFFICERS 5.006,5.006 VP EDU OFFICERS,J,"same room, name reordered"
458,HQ,VAV0298,VP EDU ASSISTANT 5.007,5.007 VP EDU OFFICERS,J->E,"same room, name reordered"
459,HQ,VAV0299,VP EDU ASSISTANT 5.008,5.008 VP EDU ASSISTANT,J,"same room, name reordered"
460,HQ,VAV0300,MEETING ROOM 5.102,5.102 MEETING ROOM,J,"same room, name reordered"
461,HQ,VAV0301,MEETING ROOM 5.102,5.102 MEETING ROOM,J,"same room, name reordered"
462,HQ,VAV0302,VP EDU SECRETARY 5.101,5.101 VP EDU SECRET,J->E,"same room, name reordered"
463,HQ,VAV0303,VP EDU ASSISTANT 5.001,5.001 VP EDU ASSISTANT,J,"same room, name reordered"
464,HQ,VAV0304,S-TOWER CORRIDOR 5.601,5.601 S TOWER CORRIDOR,D,"same room, name reordered"
465,HQ,VAV0305,VP EDU MEMB. 5.201,5.201 VP EDU MEMBERS OF EDU,D->E,"same room, name reordered"
466,HQ,VAV0306,VP EDU MEMB. 5.202,5.202 VP EDU MEMBERS OF EDU,D->E,"same room, name reordered"
467,HQ,VAV0307,VP EDU MEMB. 5.203,5.203 VP EDU MEMBERS OF EDU,D->E,"same room, name reordered"
468,HQ,VAV0308,VP EDU MEMB. 5.205,5.205 VP EDU MEETING ROOM,D->E,"same room, name reordered"
469,HQ,VAV0309,VP EDU MEMB. 5.205,5.205 VP EDU MEETING ROOM,J->E,"same room, name reordered"
470,HQ,VAV0310,VP EDU MEMB. 5.206,5.206 VP EDU MEMBERS OF EDU,D->E,"same room, name reordered"
471,HQ,VAV0311,VP EDU MEMB. 5.207,5.207 VP EDU MEMBERS OF EDU,D->E,"same room, name reordered"
472,HQ,VAV0312,VP EDU MEMB. 5.208,5.208 VP EDU MEMBERS OF EDU,D->E,"same room, name reordered"
473,HQ,VAV0313,VP EDU MEMB. 5.209,5.209 VP EDU MEMBERS OF EDU,D->E,"same room, name reordered"
474,HQ,VAV0314,VP EDU ENSUIT 5.210,5.210 VP EDU ENSUIT,J,"same room, name reordered"
475,HQ,VAV0315,VP EDU SEC. 5.211,5.211 VP EDU CHPEXECSECRET,D->E,"same room, name reordered"
476,HQ,VAV0316,VP EDU MEMB. 5.212,5.212 VP EDU MEMBERS OF EDU,D->E,"same room, name reordered"
477,HQ,VAV0317,VP EDU DIR. ENSUIT 5.213,5.213 VP EDU OFFICE DIRECTOR ENSUIT,D->E,"same room, name reordered"
478,HQ,VAV0318,05.CORIDOR,5.350 CORRIDOR,D->E,room number added
479,HQ,VAV0319,05.CORIDOR,5.350 CORRIDOR,D->E,room number added
480,HQ,VAV0320,05.CORIDOR,5.350 CORRIDOR,D->E,room number added
481,HQ,VAV0321,05.CORIDOR,5.350 CORRIDOR,D->E,room number added
482,HQ,VAV0322,VP EDU OFF. 5.027,5.027 VP EDU OFFICERS,D->E,"same room, name reordered"
483,HQ,VAV0323,INT. AUDIT 06.012,6.012 INTAUDIT SEN JNTAUD,D->E,"same room, level prefix differs"
484,HQ,VAV0324,INT. AUDIT SEC. 06.013,6.013 INTAUDIT SECRETARY,D->E,"same room, level prefix differs"
485,HQ,VAV0325,ACA. AUDIT 06.014,6.014 ACA AUDIT SUPP AUDIT,D->E,"same room, level prefix differs"
486,HQ,VAV0326,ACA. AUDIT 06.015,6.015 ACA AUDIT SUPP AUDIT,D->E,"same room, level prefix differs"
487,HQ,VAV0327,ACA. AUDIT 06.016,6.016 ACA AUDIT SUPP AUDIT,D->E,"same room, level prefix differs"
488,HQ,VAV0328,ACA. AUDIT 06.017,6.017 ACA AUDIT SUPP AUDIT,D->E,"same room, level prefix differs"
489,HQ,VAV0329,ACA. AUDIT 06.018,6.018 ACA AUDIT SUPP AUDIT,D->E,"same room, level prefix differs"
490,HQ,VAV0330,ACA. AUDIT 06.019,6.019 ACA AUDIT SUPP AUDIT,D->E,"same room, level prefix differs"
491,HQ,VAV0331,ACA. AUDIT 06.020,6.020 ACA AUDIT SUPP AUDIT,D->E,"same room, level prefix differs"
492,HQ,VAV0332,ACA. AUDIT SEC. 06.021,6.021 ACA AUDIT SECRETARY,D->E,"same room, level prefix differs"
493,HQ,VAV0333,ACA. AUDIT SEC. 06.022,6.022 ACA AUDIT SECRETARY,D->E,"same room, level prefix differs"
494,HQ,VAV0334,ACA. SEN. AUDIT 06.023,6.023 ACA AUDIT ACA SENAUD,D->E,"same room, level prefix differs"
495,HQ,VAV0335,ACA. SEN. AUDIT 06.024,6.024 ACA AUDIT ACA SENAUD,D->E,"same room, level prefix differs"
496,HQ,VAV0336,FACI. MANA. SEC. 06.025,6.025 FACILITY MANAGSECRETARY,D->E,"same room, level prefix differs"
497,HQ,VAV0337,FACILITY MANAG. DIR. ENSUIT 06.026,6.026 FACILITY MANAG DIR ENSUIT,D,"same room, level prefix differs"
498,HQ,VAV0338,VP CAPITAL CONSUL. 06.027,6.027 VP CAPITAL CONSULTANT,D->E,"same room, level prefix differs"
499,HQ,VAV0339,VP CAPITAL CONSUL. 06.028,6.028 VP CAPITAL CONSULTANT,D->E,"same room, level prefix differs"
500,HQ,VAV0340,S-TOWER CORRIDOR 6.601,6.601 S TOWER CORRIDOR,D,"same room, name reordered"
501,HQ,VAV0341,VP CAPITAL WORK ASSIST 06.109,6.109 VP CAPITAL WORK ASSIST,D,"same room, level prefix differs"
502,HQ,VAV0342,VP CAPITAL PROJ. COORD 06.108,6.108 VP CAPITAL PROJ COORD,D,"same room, level prefix differs"
503,HQ,VAV0343,S-TOWER CORRIDOR 6.601,6.601 S TOWER CORRIDOR,D,"same room, name reordered"
