row,building,tag,room before,room after,chosen from,kind of change
67,HQ,FCU0038,SPA FM TREATMENT 2.212,2.212 SPA FM TREATMENT 1,D->E,"same room, name reordered"
68,HQ,FCU0039,SPA CHANGING ROOM 2.213,2.213 SPA CHANGING ROOM,D,"same room, name reordered"
69,HQ,FCU0040,SPA CHANGING ROOM 2.213,2.213 SPA CHANGING ROOM,D,"same room, name reordered"
70,HQ,FCU0041,SPA FM TREATMENT 2.214,2.214 SPA FM TREATMENT 2,D->E,"same room, name reordered"
71,HQ,FCU0042,SPA FM TREATMENT 2.215,2.215 SPA FM TREATMENT 3,D->E,"same room, name reordered"
72,HQ,FCU0043,SPA FM RELAXATION 2.216,2.216 SPA FM RELAXATION,D,"same room, name reordered"
73,HQ,FCU0044,SPA FM RELAXATION 2.216,2.216 SPA FM RELAXATION,J,"same room, name reordered"
74,HQ,FCU0045,SPA MALE RELAXATION 2.201,2.201 SPA MALE RELAXATION,D,"same room, name reordered"
75,HQ,FCU0046,SPA MALE RELAXATION 2.201,2.201 SPA MALE RELAXATION,D,"same room, name reordered"
76,HQ,FCU0047,SPA MALE RELAXATION 2.201,2.201 SPA MALE RELAXATION,D,"same room, name reordered"
77,HQ,FCU0048,SPA MALE TREATMENT 3 2.202,2.202 SPA MALE TREATMENT 3,D,"same room, name reordered"
78,HQ,FCU0049,SPA MALE TREATMENT 2 2.203,2.203 SPA MALE TREATMENT 2,D,"same room, name reordered"
79,HQ,FCU0050,SPA MALE TREATMENT 1 2.204,2.204 SPA MALE TREATMENT 1,D,"same room, name reordered"
80,HQ,FCU0051,MALE CHANGING ROOM 2.205,2.205 SPA MALE CHANGING ROOM,D->E,"same room, name reordered"
81,HQ,FCU0052,MALE CHANGING ROOM 2.205,2.205 SPA MALE CHANGING ROOM,D->E,"same room, name reordered"
82,HQ,FCU0053,SPA ENTRANCE 2.206,2.206 SPA ENTRANCE,D,"same room, name reordered"
83,HQ,FCU0054,SPA LOBBY 2.603,2.603 SPA LOBBY,D,"same room, name reordered"
84,HQ,FCU0055,SPA LOBBY 2.603,2.603 SPA LOBBY,D,"same room, name reordered"
85,HQ,FCU0056,IDF ROOM 2.512,2.512 MECHANICAL ROOM,D->E,"same room, name reordered"
86,HQ,FCU0057,SPA PLANT ROOM 2.302,2.302 SPA PLANT ROOM,D,"same room, name reordered"
87,HQ,FCU0058,SPA PLANT ROOM 2.302,2.311 SPA MALE HEAT EXP,J,DIFFERENT ROOM
