family,kind,part,point,units,of,example_tag,historian_description,unit_of_measure,signal,match_phrase,match_phrase_source,point_kind,part_device,part_class_darcairo,part_class_score,part_class_from,part_status,darcairo_class,darcairo_score,darcairo_uses,darcairo_evidence,runner_up,runner_up_score,darcairo_class_in_brick,brick_candidate,brick_candidate_status,brick_candidate_score,proposed_class,proposed_from,status
AHUB,point,DuctHumd02,PV,3,15,QNL_AHUB001_DuctHumd02.PV,Process Value,%rH,analog,duct humidity,expanded from the tag,Sensor,,,,,,brick:Relative_Humidity_Sensor,0.25,110,class name,brick:Return_Air_Humidity_Sensor,0.20,OK,brick:Humidity_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,DuctTemp03,PV,3,15,QNL_AHUB001_DuctTemp03.PV,Process Value,°C,analog,duct temperature,expanded from the tag,Sensor,,,,,,brick:Temperature_Sensor,0.33,110,class name,para:UPS_Temperature_Sensor,0.25,OK,brick:Temperature_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,DuctTemp04,PV,3,15,QNL_AHUB001_DuctTemp04.PV,Process Value,°C,analog,duct temperature,expanded from the tag,Sensor,,,,,,brick:Temperature_Sensor,0.33,110,class name,para:UPS_Temperature_Sensor,0.25,OK,brick:Temperature_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,SpcHumd07,PV,3,15,QNL_AHUB002_SpcHumd07.PV,Process Value,%rH,analog,space humidity,expanded from the tag,Sensor,,,,,,brick:Relative_Humidity_Sensor,0.25,110,class name,brick:Return_Air_Humidity_Sensor,0.20,OK,brick:Humidity_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,SpcTemp05,PV,3,15,QNL_AHUB002_SpcTemp05.PV,Process Value,°C,analog,space temperature,expanded from the tag,Sensor,,,,,,brick:Temperature_Sensor,0.33,110,class name,para:UPS_Temperature_Sensor,0.25,OK,brick:Temperature_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,DuctHumd03,PV,2,15,QNL_AHUB001_DuctHumd03.PV,Process Value,%rH,analog,duct humidity,expanded from the tag,Sensor,,,,,,brick:Relative_Humidity_Sensor,0.25,110,class name,brick:Return_Air_Humidity_Sensor,0.20,OK,brick:Humidity_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,DuctHumd04,PV,2,15,QNL_AHUB001_DuctHumd04.PV,Process Value,%rH,analog,duct humidity,expanded from the tag,Sensor,,,,,,brick:Relative_Humidity_Sensor,0.25,110,class name,brick:Return_Air_Humidity_Sensor,0.20,OK,brick:Humidity_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,DuctTemp05,PV,2,15,QNL_AHUB001_DuctTemp05.PV,Process Value,°C,analog,duct temperature,expanded from the tag,Sensor,,,,,,brick:Temperature_Sensor,0.33,110,class name,para:UPS_Temperature_Sensor,0.25,OK,brick:Temperature_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,DuctTemp06,PV,2,15,QNL_AHUB001_DuctTemp06.PV,Process Value,°C,analog,duct temperature,expanded from the tag,Sensor,,,,,,brick:Temperature_Sensor,0.33,110,class name,para:UPS_Temperature_Sensor,0.25,OK,brick:Temperature_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,DuctTemp07,PV,2,15,QNL_AHUB001_DuctTemp07.PV,Process Value,°C,analog,duct temperature,expanded from the tag,Sensor,,,,,,brick:Temperature_Sensor,0.33,110,class name,para:UPS_Temperature_Sensor,0.25,OK,brick:Temperature_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,SpcTemp06,PV,2,15,QNL_AHUB002_SpcTemp06.PV,Process Value,°C,analog,space temperature,expanded from the tag,Sensor,,,,,,brick:Temperature_Sensor,0.33,110,class name,para:UPS_Temperature_Sensor,0.25,OK,brick:Temperature_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,DuctHumd,PV,1,15,QNL_AHUB010_DuctHumd.PV,Process Value,%rH,analog,duct humidity,expanded from the tag,Sensor,,,,,,brick:Relative_Humidity_Sensor,0.25,110,class name,brick:Return_Air_Humidity_Sensor,0.20,OK,brick:Humidity_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,DuctHumd05,PV,1,15,QNL_AHUB001_DuctHumd05.PV,Process Value,%rH,analog,duct humidity,expanded from the tag,Sensor,,,,,,brick:Relative_Humidity_Sensor,0.25,110,class name,brick:Return_Air_Humidity_Sensor,0.20,OK,brick:Humidity_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
AHUB,point,DuctHumd06,PV,1,15,QNL_AHUB001_DuctHumd06.PV,Process Value,%rH,analog,duct humidity,expanded from the tag,Sensor,,,,,,brick:Relative_Humidity_Sensor,0.25,110,class name,brick:Return_Air_Humidity_Sensor,0.20,OK,brick:Humidity_Sensor,OK,0.33,,,needs-you: confirm the Dar Cairo candidate
