subject,subjectType,predicate,object,objectType,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val,object_prop_name,object_prop_val,subject_prop_name,subject_prop_val
entity:QNL_B_024_AD_COLLECTIONS,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.024 AD COLLECTIONS,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_025_SOCIAL_SCIENCES,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.025 SOCIAL SCIENCES,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_026_BUSINESS_&_COMPUTING,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.026 BUSINESS & COMPUTING,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_027_PROCUREMENT_SPC_PROCUREMENT_OFCR,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.027 PROCUREMENT SPC PROCUREMENT OFCR,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_028_STORAGE,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.028 STORAGE,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_029_LITERATURE_&_ANGUAGE,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.029 LITERATURE & ANGUAGE,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_030_SNR_P_COORDINATOR_&_P_COORDINATOR,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.030 SNR P COORDINATOR & P COORDINATOR,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_031_JANITORS_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.031 JANITORS ROOM,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_032_REST_ROOM_MEN,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.032 REST ROOM MEN,,,,,,,,,,,,,,,,,,,,
entity:QNL_B_034_MEETING_ROOM,rec:Room,rec:isPartOf,entity:QNL_B,rec:BasementLevel,rdfs:label_en,B.034 MEETING ROOM,,,,,,,,,,,,,,,,,,,,
