old_identifier,new_identifier,kind
entity:QNL_AHU_B_002,entity:QNL_AHU-B-002,equipment
entity:QNL_AHU_B_002_AvgSpcHumd_PV,entity:QNL_AHU-B-002_Average-Space-Humidity,point
entity:QNL_AHU_B_002_AvgSpcTemp_PV,entity:QNL_AHU-B-002_Average-Space-Temperature,point
entity:QNL_AHU_B_002_CHW-Coil,entity:QNL_AHU-B-002_CHW-Coil,part
entity:QNL_AHU_B_002_CHWRtnTemp_PV,entity:QNL_AHU-B-002_Chilled-Water-Return-Temperature,point
entity:QNL_AHU_B_002_CHWSupTemp_PV,entity:QNL_AHU-B-002_Chilled-Water-Supply-Temperature,point
entity:QNL_AHU_B_002_CoolVlv_PosFbk,entity:QNL_AHU-B-002_Cooling-Valve-Position-Feedback,point
entity:QNL_AHU_B_002_Electric-Coil,entity:QNL_AHU-B-002_Electric-Coil,part
entity:QNL_AHU_B_002_EnableDisableCmd,entity:QNL_AHU-B-002_Enable-Disable-Command,point
entity:QNL_AHU_B_002_FrshAirTemp_PV,entity:QNL_AHU-B-002_Fresh-Air-Temperature,point
entity:QNL_AHU_B_002_MixAirTemp_PV,entity:QNL_AHU-B-002_Mixed-Air-Temperature,point
entity:QNL_AHU_B_002_RtnAirDuctPrs_PV,entity:QNL_AHU-B-002_Return-Air-Duct-Pressure,point
entity:QNL_AHU_B_002_RtnAirHumd_PV,entity:QNL_AHU-B-002_Return-Air-Humidity,point
entity:QNL_AHU_B_002_RtnAirTemp_PV,entity:QNL_AHU-B-002_Return-Air-Temperature,point
entity:QNL_AHU_B_002_RtnHumiditySP,entity:QNL_AHU-B-002_Return-Air-Humidity-Setpoint,point
entity:QNL_AHU_B_002_SF,entity:QNL_AHU-B-002_SF,part
entity:QNL_AHU_B_002_SF_Motor,entity:QNL_AHU-B-002_SF-Motor,part
entity:QNL_AHU_B_002_SpcHumd01_PV,entity:QNL_AHU-B-002_Space-Humidity-1,point
