old_identifier,new_identifier,kind
entity:QNL_AHU_B_014_SupFan_SpeedFbk,entity:QNL_AHU-B-014_Supply-Fan-Speed-Feedback,point
entity:QNL_AHU_B_014_SupFan_TripAlm,entity:QNL_AHU-B-014_Supply-Fan-Trip-Alarm,point
entity:QNL_AHU_B_014_SupFan_kW,entity:QNL_AHU-B-014_Supply-Fan-Electric-Power,point
entity:QNL_AHU_B_014_SupFan_kWH,entity:QNL_AHU-B-014_Supply-Fan-Electrical-Energy,point
entity:QNL_AHU_B_015,entity:QNL_AHU-B-015,equipment
entity:QNL_AHU_B_015_CHW-Coil,entity:QNL_AHU-B-015_CHW-Coil,part
entity:QNL_AHU_B_015_CHWRtnTemp_PV,entity:QNL_AHU-B-015_Chilled-Water-Return-Temperature,point
entity:QNL_AHU_B_015_CHWSupTemp_PV,entity:QNL_AHU-B-015_Chilled-Water-Supply-Temperature,point
entity:QNL_AHU_B_015_CoolVlv_PosFbk,entity:QNL_AHU-B-015_Cooling-Valve-Position-Feedback,point
entity:QNL_AHU_B_015_Electric-Coil,entity:QNL_AHU-B-015_Electric-Coil,part
entity:QNL_AHU_B_015_EnableDisableCmd,entity:QNL_AHU-B-015_Enable-Disable-Command,point
entity:QNL_AHU_B_015_FrshAirTemp_PV,entity:QNL_AHU-B-015_Fresh-Air-Temperature,point
entity:QNL_AHU_B_015_IntrnlEADmpr_PositionCtrl,entity:QNL_AHU-B-015_Exhaust-Air-Damper-Position-Command,point
entity:QNL_AHU_B_015_IntrnlEADmpr_PositionFbk,entity:QNL_AHU-B-015_Exhaust-Air-Damper-Position-Feedback,point
entity:QNL_AHU_B_015_IntrnlFADmpr_PositionCtrl,entity:QNL_AHU-B-015_Fresh-Air-Damper-Position-Command,point
entity:QNL_AHU_B_015_IntrnlFADmpr_PositionFbk,entity:QNL_AHU-B-015_Fresh-Air-Damper-Position-Feedback,point
entity:QNL_AHU_B_015_MixAirTemp_PV,entity:QNL_AHU-B-015_Mixed-Air-Temperature,point
entity:QNL_AHU_B_015_RF,entity:QNL_AHU-B-015_RF,part
entity:QNL_AHU_B_015_RF_Motor,entity:QNL_AHU-B-015_RF-Motor,part
entity:QNL_AHU_B_015_RtnAirDuctPrs_PV,entity:QNL_AHU-B-015_Return-Air-Duct-Pressure,point
entity:QNL_AHU_B_015_RtnAirFlow_PV,entity:QNL_AHU-B-015_Return-Air-Flow,point
entity:QNL_AHU_B_015_RtnAirHumd_PV,entity:QNL_AHU-B-015_Return-Air-Humidity,point
entity:QNL_AHU_B_015_RtnAirTemp_PV,entity:QNL_AHU-B-015_Return-Air-Temperature,point
entity:QNL_AHU_B_015_RtnFan_AutoManCmd,entity:QNL_AHU-B-015_Return-Fan-Auto-Manual-Command,point
entity:QNL_AHU_B_015_RtnFan_SpeedFbk,entity:QNL_AHU-B-015_Return-Fan-Speed-Feedback,point
entity:QNL_AHU_B_015_RtnFan_TripAlm,entity:QNL_AHU-B-015_Return-Fan-Trip-Alarm,point
entity:QNL_AHU_B_015_RtnFan_kW,entity:QNL_AHU-B-015_Return-Fan-Electric-Power,point
entity:QNL_AHU_B_015_RtnFan_kWH,entity:QNL_AHU-B-015_Return-Fan-Electrical-Energy,point
entity:QNL_AHU_B_015_RtnHumiditySP,entity:QNL_AHU-B-015_Return-Air-Humidity-Setpoint,point
entity:QNL_AHU_B_015_SF,entity:QNL_AHU-B-015_SF,part
entity:QNL_AHU_B_015_SF_Motor,entity:QNL_AHU-B-015_SF-Motor,part
entity:QNL_AHU_B_015_SupAirDuctPrs_PV,entity:QNL_AHU-B-015_Supply-Air-Duct-Pressure,point
entity:QNL_AHU_B_015_SupAirFlow_PV,entity:QNL_AHU-B-015_Supply-Air-Flow,point
entity:QNL_AHU_B_015_SupAirHumd_PV,entity:QNL_AHU-B-015_Supply-Air-Humidity,point
entity:QNL_AHU_B_015_SupAirTemp_PV,entity:QNL_AHU-B-015_Supply-Air-Temperature,point
entity:QNL_AHU_B_015_SupFan_AutoManCmd,entity:QNL_AHU-B-015_Supply-Fan-Auto-Manual-Command,point
entity:QNL_AHU_B_015_SupFan_FTSP,entity:QNL_AHU-B-015_Supply-Fan-Fail-To-Stop-Alarm,point
entity:QNL_AHU_B_015_SupFan_FTST,entity:QNL_AHU-B-015_Supply-Fan-Fail-To-Start-Alarm,point
entity:QNL_AHU_B_015_SupFan_SpeedFbk,entity:QNL_AHU-B-015_Supply-Fan-Speed-Feedback,point
entity:QNL_AHU_B_015_SupFan_TripAlm,entity:QNL_AHU-B-015_Supply-Fan-Trip-Alarm,point
entity:QNL_AHU_B_015_SupFan_kW,entity:QNL_AHU-B-015_Supply-Fan-Electric-Power,point
entity:QNL_AHU_B_015_SupFan_kWH,entity:QNL_AHU-B-015_Supply-Fan-Electrical-Energy,point
entity:QNL_CAV_1F_S11_001,entity:QNL_CAV-1F-S11-001,equipment
entity:QNL_CAV_1F_S11_001_DmprPos,entity:QNL_CAV-1F-S11-001_Damper-Position,point
entity:QNL_CAV_1F_S11_001_DuctAirFlow,entity:QNL_CAV-1F-S11-001_Duct-Air-Flow,point
entity:QNL_CAV_1F_S11_001_EffectiveSP,entity:QNL_CAV-1F-S11-001_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S11_002,entity:QNL_CAV-1F-S11-002,equipment
entity:QNL_CAV_1F_S11_002_DmprPos,entity:QNL_CAV-1F-S11-002_Damper-Position,point
entity:QNL_CAV_1F_S11_002_DuctAirFlow,entity:QNL_CAV-1F-S11-002_Duct-Air-Flow,point
entity:QNL_CAV_1F_S11_002_EffectiveSP,entity:QNL_CAV-1F-S11-002_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S11_006,entity:QNL_CAV-1F-S11-006,equipment
entity:QNL_CAV_1F_S11_006_DmprPos,entity:QNL_CAV-1F-S11-006_Damper-Position,point
entity:QNL_CAV_1F_S11_006_DuctAirFlow,entity:QNL_CAV-1F-S11-006_Duct-Air-Flow,point
entity:QNL_CAV_1F_S11_006_EffectiveSP,entity:QNL_CAV-1F-S11-006_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S11_007,entity:QNL_CAV-1F-S11-007,equipment
entity:QNL_CAV_1F_S11_007_DmprPos,entity:QNL_CAV-1F-S11-007_Damper-Position,point
entity:QNL_CAV_1F_S11_007_DuctAirFlow,entity:QNL_CAV-1F-S11-007_Duct-Air-Flow,point
entity:QNL_CAV_1F_S11_007_EffectiveSP,entity:QNL_CAV-1F-S11-007_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S11_008,entity:QNL_CAV-1F-S11-008,equipment
entity:QNL_CAV_1F_S11_008_DmprPos,entity:QNL_CAV-1F-S11-008_Damper-Position,point
entity:QNL_CAV_1F_S11_008_DuctAirFlow,entity:QNL_CAV-1F-S11-008_Duct-Air-Flow,point
entity:QNL_CAV_1F_S11_008_EffectiveSP,entity:QNL_CAV-1F-S11-008_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S11_009,entity:QNL_CAV-1F-S11-009,equipment
entity:QNL_CAV_1F_S11_009_DmprPos,entity:QNL_CAV-1F-S11-009_Damper-Position,point
entity:QNL_CAV_1F_S11_009_DuctAirFlow,entity:QNL_CAV-1F-S11-009_Duct-Air-Flow,point
entity:QNL_CAV_1F_S11_009_EffectiveSP,entity:QNL_CAV-1F-S11-009_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S15_001,entity:QNL_CAV-1F-S15-001,equipment
entity:QNL_CAV_1F_S15_001_DmprPos,entity:QNL_CAV-1F-S15-001_Damper-Position,point
entity:QNL_CAV_1F_S15_001_DuctAirFlow,entity:QNL_CAV-1F-S15-001_Duct-Air-Flow,point
entity:QNL_CAV_1F_S15_001_EffectiveSP,entity:QNL_CAV-1F-S15-001_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S15_002,entity:QNL_CAV-1F-S15-002,equipment
entity:QNL_CAV_1F_S15_002_DmprPos,entity:QNL_CAV-1F-S15-002_Damper-Position,point
entity:QNL_CAV_1F_S15_002_DuctAirFlow,entity:QNL_CAV-1F-S15-002_Duct-Air-Flow,point
entity:QNL_CAV_1F_S15_002_EffectiveSP,entity:QNL_CAV-1F-S15-002_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S15_004,entity:QNL_CAV-1F-S15-004,equipment
entity:QNL_CAV_1F_S15_004_DmprPos,entity:QNL_CAV-1F-S15-004_Damper-Position,point
entity:QNL_CAV_1F_S15_004_DuctAirFlow,entity:QNL_CAV-1F-S15-004_Duct-Air-Flow,point
entity:QNL_CAV_1F_S15_004_EffectiveSP,entity:QNL_CAV-1F-S15-004_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S15_005,entity:QNL_CAV-1F-S15-005,equipment
entity:QNL_CAV_1F_S15_005_DmprPos,entity:QNL_CAV-1F-S15-005_Damper-Position,point
entity:QNL_CAV_1F_S15_005_DuctAirFlow,entity:QNL_CAV-1F-S15-005_Duct-Air-Flow,point
entity:QNL_CAV_1F_S15_005_EffectiveSP,entity:QNL_CAV-1F-S15-005_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S15_006,entity:QNL_CAV-1F-S15-006,equipment
entity:QNL_CAV_1F_S15_006_DmprPos,entity:QNL_CAV-1F-S15-006_Damper-Position,point
entity:QNL_CAV_1F_S15_006_DuctAirFlow,entity:QNL_CAV-1F-S15-006_Duct-Air-Flow,point
entity:QNL_CAV_1F_S15_006_EffectiveSP,entity:QNL_CAV-1F-S15-006_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S15_010,entity:QNL_CAV-1F-S15-010,equipment
entity:QNL_CAV_1F_S15_010_DmprPos,entity:QNL_CAV-1F-S15-010_Damper-Position,point
entity:QNL_CAV_1F_S15_010_DuctAirFlow,entity:QNL_CAV-1F-S15-010_Duct-Air-Flow,point
entity:QNL_CAV_1F_S15_010_EffectiveSP,entity:QNL_CAV-1F-S15-010_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S15_011,entity:QNL_CAV-1F-S15-011,equipment
entity:QNL_CAV_1F_S15_011_DmprPos,entity:QNL_CAV-1F-S15-011_Damper-Position,point
entity:QNL_CAV_1F_S15_011_DuctAirFlow,entity:QNL_CAV-1F-S15-011_Duct-Air-Flow,point
entity:QNL_CAV_1F_S15_011_EffectiveSP,entity:QNL_CAV-1F-S15-011_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S15_012,entity:QNL_CAV-1F-S15-012,equipment
entity:QNL_CAV_1F_S15_012_DmprPos,entity:QNL_CAV-1F-S15-012_Damper-Position,point
entity:QNL_CAV_1F_S15_012_DuctAirFlow,entity:QNL_CAV-1F-S15-012_Duct-Air-Flow,point
entity:QNL_CAV_1F_S15_012_EffectiveSP,entity:QNL_CAV-1F-S15-012_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S15_013,entity:QNL_CAV-1F-S15-013,equipment
entity:QNL_CAV_1F_S15_013_DmprPos,entity:QNL_CAV-1F-S15-013_Damper-Position,point
entity:QNL_CAV_1F_S15_013_DuctAirFlow,entity:QNL_CAV-1F-S15-013_Duct-Air-Flow,point
entity:QNL_CAV_1F_S15_013_EffectiveSP,entity:QNL_CAV-1F-S15-013_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S15_014,entity:QNL_CAV-1F-S15-014,equipment
entity:QNL_CAV_1F_S15_014_DmprPos,entity:QNL_CAV-1F-S15-014_Damper-Position,point
entity:QNL_CAV_1F_S15_014_DuctAirFlow,entity:QNL_CAV-1F-S15-014_Duct-Air-Flow,point
entity:QNL_CAV_1F_S15_014_EffectiveSP,entity:QNL_CAV-1F-S15-014_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S15_015,entity:QNL_CAV-1F-S15-015,equipment
entity:QNL_CAV_1F_S15_015_DmprPos,entity:QNL_CAV-1F-S15-015_Damper-Position,point
entity:QNL_CAV_1F_S15_015_DuctAirFlow,entity:QNL_CAV-1F-S15-015_Duct-Air-Flow,point
entity:QNL_CAV_1F_S15_015_EffectiveSP,entity:QNL_CAV-1F-S15-015_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S15_016,entity:QNL_CAV-1F-S15-016,equipment
entity:QNL_CAV_1F_S15_016_DmprPos,entity:QNL_CAV-1F-S15-016_Damper-Position,point
entity:QNL_CAV_1F_S15_016_DuctAirFlow,entity:QNL_CAV-1F-S15-016_Duct-Air-Flow,point
entity:QNL_CAV_1F_S15_016_EffectiveSP,entity:QNL_CAV-1F-S15-016_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S15_017,entity:QNL_CAV-1F-S15-017,equipment
entity:QNL_CAV_1F_S15_017_DmprPos,entity:QNL_CAV-1F-S15-017_Damper-Position,point
entity:QNL_CAV_1F_S15_017_DuctAirFlow,entity:QNL_CAV-1F-S15-017_Duct-Air-Flow,point
entity:QNL_CAV_1F_S15_017_EffectiveSP,entity:QNL_CAV-1F-S15-017_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S15_018,entity:QNL_CAV-1F-S15-018,equipment
entity:QNL_CAV_1F_S15_018_DmprPos,entity:QNL_CAV-1F-S15-018_Damper-Position,point
entity:QNL_CAV_1F_S15_018_DuctAirFlow,entity:QNL_CAV-1F-S15-018_Duct-Air-Flow,point
entity:QNL_CAV_1F_S15_018_EffectiveSP,entity:QNL_CAV-1F-S15-018_Effective-Temperature-Setpoint,point
entity:QNL_CAV_1F_S15_019,entity:QNL_CAV-1F-S15-019,equipment
entity:QNL_CAV_1F_S15_019_DmprPos,entity:QNL_CAV-1F-S15-019_Damper-Position,point
entity:QNL_CAV_1F_S15_019_DuctAirFlow,entity:QNL_CAV-1F-S15-019_Duct-Air-Flow,point
entity:QNL_CAV_1F_S15_019_EffectiveSP,entity:QNL_CAV-1F-S15-019_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S12_001,entity:QNL_CAV-B-S12-001,equipment
entity:QNL_CAV_B_S12_001_DmprPos,entity:QNL_CAV-B-S12-001_Damper-Position,point
entity:QNL_CAV_B_S12_001_DuctAirFlow,entity:QNL_CAV-B-S12-001_Duct-Air-Flow,point
entity:QNL_CAV_B_S12_001_EffectiveSP,entity:QNL_CAV-B-S12-001_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S12_002,entity:QNL_CAV-B-S12-002,equipment
entity:QNL_CAV_B_S12_002_DmprPos,entity:QNL_CAV-B-S12-002_Damper-Position,point
entity:QNL_CAV_B_S12_002_DuctAirFlow,entity:QNL_CAV-B-S12-002_Duct-Air-Flow,point
entity:QNL_CAV_B_S12_002_EffectiveSP,entity:QNL_CAV-B-S12-002_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S12_002_RmTemp,entity:QNL_CAV-B-S12-002_Room-Space-Temperature,point
entity:QNL_CAV_B_S12_003,entity:QNL_CAV-B-S12-003,equipment
entity:QNL_CAV_B_S12_003_DmprPos,entity:QNL_CAV-B-S12-003_Damper-Position,point
entity:QNL_CAV_B_S12_003_DuctAirFlow,entity:QNL_CAV-B-S12-003_Duct-Air-Flow,point
entity:QNL_CAV_B_S12_003_EffectiveSP,entity:QNL_CAV-B-S12-003_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S12_003_RmTemp,entity:QNL_CAV-B-S12-003_Room-Space-Temperature,point
entity:QNL_CAV_B_S13_001,entity:QNL_CAV-B-S13-001,equipment
entity:QNL_CAV_B_S13_001_DmprPos,entity:QNL_CAV-B-S13-001_Damper-Position,point
entity:QNL_CAV_B_S13_001_DuctAirFlow,entity:QNL_CAV-B-S13-001_Duct-Air-Flow,point
entity:QNL_CAV_B_S13_001_EffectiveSP,entity:QNL_CAV-B-S13-001_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S13_002,entity:QNL_CAV-B-S13-002,equipment
entity:QNL_CAV_B_S13_002_DmprPos,entity:QNL_CAV-B-S13-002_Damper-Position,point
entity:QNL_CAV_B_S13_002_DuctAirFlow,entity:QNL_CAV-B-S13-002_Duct-Air-Flow,point
entity:QNL_CAV_B_S13_002_EffectiveSP,entity:QNL_CAV-B-S13-002_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S13_003,entity:QNL_CAV-B-S13-003,equipment
entity:QNL_CAV_B_S13_003_DmprPos,entity:QNL_CAV-B-S13-003_Damper-Position,point
entity:QNL_CAV_B_S13_003_DuctAirFlow,entity:QNL_CAV-B-S13-003_Duct-Air-Flow,point
entity:QNL_CAV_B_S13_003_EffectiveSP,entity:QNL_CAV-B-S13-003_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S13_004,entity:QNL_CAV-B-S13-004,equipment
entity:QNL_CAV_B_S13_004_DmprPos,entity:QNL_CAV-B-S13-004_Damper-Position,point
entity:QNL_CAV_B_S13_004_DuctAirFlow,entity:QNL_CAV-B-S13-004_Duct-Air-Flow,point
entity:QNL_CAV_B_S13_004_EffectiveSP,entity:QNL_CAV-B-S13-004_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S13_005,entity:QNL_CAV-B-S13-005,equipment
entity:QNL_CAV_B_S13_005_DmprPos,entity:QNL_CAV-B-S13-005_Damper-Position,point
entity:QNL_CAV_B_S13_005_DuctAirFlow,entity:QNL_CAV-B-S13-005_Duct-Air-Flow,point
entity:QNL_CAV_B_S13_005_EffectiveSP,entity:QNL_CAV-B-S13-005_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S13_006,entity:QNL_CAV-B-S13-006,equipment
entity:QNL_CAV_B_S13_006_DmprPos,entity:QNL_CAV-B-S13-006_Damper-Position,point
entity:QNL_CAV_B_S13_006_DuctAirFlow,entity:QNL_CAV-B-S13-006_Duct-Air-Flow,point
entity:QNL_CAV_B_S13_006_EffectiveSP,entity:QNL_CAV-B-S13-006_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S13_007,entity:QNL_CAV-B-S13-007,equipment
entity:QNL_CAV_B_S13_007_DmprPos,entity:QNL_CAV-B-S13-007_Damper-Position,point
entity:QNL_CAV_B_S13_007_DuctAirFlow,entity:QNL_CAV-B-S13-007_Duct-Air-Flow,point
entity:QNL_CAV_B_S13_007_EffectiveSP,entity:QNL_CAV-B-S13-007_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S13_008,entity:QNL_CAV-B-S13-008,equipment
entity:QNL_CAV_B_S13_008_DmprPos,entity:QNL_CAV-B-S13-008_Damper-Position,point
entity:QNL_CAV_B_S13_008_DuctAirFlow,entity:QNL_CAV-B-S13-008_Duct-Air-Flow,point
entity:QNL_CAV_B_S13_008_EffectiveSP,entity:QNL_CAV-B-S13-008_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S13_009,entity:QNL_CAV-B-S13-009,equipment
entity:QNL_CAV_B_S13_009_DmprPos,entity:QNL_CAV-B-S13-009_Damper-Position,point
entity:QNL_CAV_B_S13_009_DuctAirFlow,entity:QNL_CAV-B-S13-009_Duct-Air-Flow,point
entity:QNL_CAV_B_S13_009_EffectiveSP,entity:QNL_CAV-B-S13-009_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S13_009_RmTemp,entity:QNL_CAV-B-S13-009_Room-Space-Temperature,point
entity:QNL_CAV_B_S13_010,entity:QNL_CAV-B-S13-010,equipment
entity:QNL_CAV_B_S13_010_DmprPos,entity:QNL_CAV-B-S13-010_Damper-Position,point
entity:QNL_CAV_B_S13_010_DuctAirFlow,entity:QNL_CAV-B-S13-010_Duct-Air-Flow,point
entity:QNL_CAV_B_S13_010_EffectiveSP,entity:QNL_CAV-B-S13-010_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S13_010_RmTemp,entity:QNL_CAV-B-S13-010_Room-Space-Temperature,point
entity:QNL_CAV_B_S13_011,entity:QNL_CAV-B-S13-011,equipment
entity:QNL_CAV_B_S13_011_DmprPos,entity:QNL_CAV-B-S13-011_Damper-Position,point
entity:QNL_CAV_B_S13_011_DuctAirFlow,entity:QNL_CAV-B-S13-011_Duct-Air-Flow,point
entity:QNL_CAV_B_S13_011_EffectiveSP,entity:QNL_CAV-B-S13-011_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S13_011_RmTemp,entity:QNL_CAV-B-S13-011_Room-Space-Temperature,point
entity:QNL_CAV_B_S13_012,entity:QNL_CAV-B-S13-012,equipment
entity:QNL_CAV_B_S13_012_DmprPos,entity:QNL_CAV-B-S13-012_Damper-Position,point
entity:QNL_CAV_B_S13_012_DuctAirFlow,entity:QNL_CAV-B-S13-012_Duct-Air-Flow,point
entity:QNL_CAV_B_S13_012_EffectiveSP,entity:QNL_CAV-B-S13-012_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S13_013,entity:QNL_CAV-B-S13-013,equipment
entity:QNL_CAV_B_S13_013_DmprPos,entity:QNL_CAV-B-S13-013_Damper-Position,point
entity:QNL_CAV_B_S13_013_DuctAirFlow,entity:QNL_CAV-B-S13-013_Duct-Air-Flow,point
entity:QNL_CAV_B_S13_013_EffectiveSP,entity:QNL_CAV-B-S13-013_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S13_014,entity:QNL_CAV-B-S13-014,equipment
entity:QNL_CAV_B_S13_014_DmprPos,entity:QNL_CAV-B-S13-014_Damper-Position,point
entity:QNL_CAV_B_S13_014_DuctAirFlow,entity:QNL_CAV-B-S13-014_Duct-Air-Flow,point
entity:QNL_CAV_B_S13_014_EffectiveSP,entity:QNL_CAV-B-S13-014_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S13_015,entity:QNL_CAV-B-S13-015,equipment
entity:QNL_CAV_B_S13_015_DmprPos,entity:QNL_CAV-B-S13-015_Damper-Position,point
entity:QNL_CAV_B_S13_015_DuctAirFlow,entity:QNL_CAV-B-S13-015_Duct-Air-Flow,point
entity:QNL_CAV_B_S13_015_EffectiveSP,entity:QNL_CAV-B-S13-015_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S13_020,entity:QNL_CAV-B-S13-020,equipment
entity:QNL_CAV_B_S13_020_DmprPos,entity:QNL_CAV-B-S13-020_Damper-Position,point
entity:QNL_CAV_B_S13_020_DuctAirFlow,entity:QNL_CAV-B-S13-020_Duct-Air-Flow,point
entity:QNL_CAV_B_S13_020_EffectiveSP,entity:QNL_CAV-B-S13-020_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S13_021,entity:QNL_CAV-B-S13-021,equipment
entity:QNL_CAV_B_S13_021_DmprPos,entity:QNL_CAV-B-S13-021_Damper-Position,point
entity:QNL_CAV_B_S13_021_DuctAirFlow,entity:QNL_CAV-B-S13-021_Duct-Air-Flow,point
entity:QNL_CAV_B_S13_021_EffectiveSP,entity:QNL_CAV-B-S13-021_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S13_050,entity:QNL_CAV-B-S13-050,equipment
entity:QNL_CAV_B_S14_001,entity:QNL_CAV-B-S14-001,equipment
entity:QNL_CAV_B_S14_001_DmprPos,entity:QNL_CAV-B-S14-001_Damper-Position,point
entity:QNL_CAV_B_S14_001_DuctAirFlow,entity:QNL_CAV-B-S14-001_Duct-Air-Flow,point
entity:QNL_CAV_B_S14_001_EffectiveSP,entity:QNL_CAV-B-S14-001_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S14_002,entity:QNL_CAV-B-S14-002,equipment
entity:QNL_CAV_B_S14_002_DmprPos,entity:QNL_CAV-B-S14-002_Damper-Position,point
entity:QNL_CAV_B_S14_002_DuctAirFlow,entity:QNL_CAV-B-S14-002_Duct-Air-Flow,point
entity:QNL_CAV_B_S14_002_EffectiveSP,entity:QNL_CAV-B-S14-002_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S14_002_RmTemp,entity:QNL_CAV-B-S14-002_Room-Space-Temperature,point
entity:QNL_CAV_B_S14_003,entity:QNL_CAV-B-S14-003,equipment
entity:QNL_CAV_B_S14_003_DmprPos,entity:QNL_CAV-B-S14-003_Damper-Position,point
entity:QNL_CAV_B_S14_003_DuctAirFlow,entity:QNL_CAV-B-S14-003_Duct-Air-Flow,point
entity:QNL_CAV_B_S14_003_EffectiveSP,entity:QNL_CAV-B-S14-003_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S14_004,entity:QNL_CAV-B-S14-004,equipment
entity:QNL_CAV_B_S14_004_DmprPos,entity:QNL_CAV-B-S14-004_Damper-Position,point
entity:QNL_CAV_B_S14_004_DuctAirFlow,entity:QNL_CAV-B-S14-004_Duct-Air-Flow,point
entity:QNL_CAV_B_S14_004_EffectiveSP,entity:QNL_CAV-B-S14-004_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S14_005,entity:QNL_CAV-B-S14-005,equipment
entity:QNL_CAV_B_S14_005_DmprPos,entity:QNL_CAV-B-S14-005_Damper-Position,point
entity:QNL_CAV_B_S14_005_DuctAirFlow,entity:QNL_CAV-B-S14-005_Duct-Air-Flow,point
entity:QNL_CAV_B_S14_005_EffectiveSP,entity:QNL_CAV-B-S14-005_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S14_006,entity:QNL_CAV-B-S14-006,equipment
entity:QNL_CAV_B_S14_006_DmprPos,entity:QNL_CAV-B-S14-006_Damper-Position,point
entity:QNL_CAV_B_S14_006_DuctAirFlow,entity:QNL_CAV-B-S14-006_Duct-Air-Flow,point
entity:QNL_CAV_B_S14_006_EffectiveSP,entity:QNL_CAV-B-S14-006_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S14_007,entity:QNL_CAV-B-S14-007,equipment
entity:QNL_CAV_B_S14_007_DmprPos,entity:QNL_CAV-B-S14-007_Damper-Position,point
entity:QNL_CAV_B_S14_007_DuctAirFlow,entity:QNL_CAV-B-S14-007_Duct-Air-Flow,point
entity:QNL_CAV_B_S14_007_EffectiveSP,entity:QNL_CAV-B-S14-007_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S15_001,entity:QNL_CAV-B-S15-001,equipment
entity:QNL_CAV_B_S15_001_DmprPos,entity:QNL_CAV-B-S15-001_Damper-Position,point
entity:QNL_CAV_B_S15_001_DuctAirFlow,entity:QNL_CAV-B-S15-001_Duct-Air-Flow,point
entity:QNL_CAV_B_S15_001_EffectiveSP,entity:QNL_CAV-B-S15-001_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S15_002,entity:QNL_CAV-B-S15-002,equipment
entity:QNL_CAV_B_S15_002_DmprPos,entity:QNL_CAV-B-S15-002_Damper-Position,point
entity:QNL_CAV_B_S15_002_DuctAirFlow,entity:QNL_CAV-B-S15-002_Duct-Air-Flow,point
entity:QNL_CAV_B_S15_002_EffectiveSP,entity:QNL_CAV-B-S15-002_Effective-Temperature-Setpoint,point
entity:QNL_CAV_B_S15_003,entity:QNL_CAV-B-S15-003,equipment
entity:QNL_CAV_B_S15_003_DmprPos,entity:QNL_CAV-B-S15-003_Damper-Position,point
entity:QNL_CAV_B_S15_003_DuctAirFlow,entity:QNL_CAV-B-S15-003_Duct-Air-Flow,point
entity:QNL_CAV_B_S15_003_EffectiveSP,entity:QNL_CAV-B-S15-003_Effective-Temperature-Setpoint,point
entity:QNL_CCU_8081,entity:QNL_CCU-8081,equipment
entity:QNL_CCU_8081_Alm,entity:QNL_CCU-8081_Alm,point
entity:QNL_CCU_8081_CommAlm,entity:QNL_CCU-8081_Communication-Loss-Alarm,point
entity:QNL_CCU_8081_Humidity,entity:QNL_CCU-8081_Humidity,point
entity:QNL_CCU_8081_Temp,entity:QNL_CCU-8081_Temp,point
entity:QNL_CCU_8082,entity:QNL_CCU-8082,equipment
entity:QNL_CCU_8082_Alm,entity:QNL_CCU-8082_Alm,point
entity:QNL_CCU_8082_CommAlm,entity:QNL_CCU-8082_Communication-Loss-Alarm,point
