change,subject,was,now
EF_RP03,entity:QNL_EF-RP03,entity:QNL_P_007_PLANT-ZONE,entity:QNL_P_004_PLANT-ZONE
KEF_101,entity:QNL_KEF-101,entity:QNL_L1_067_RESTAURANT,entity:QNL_L1_067_RES-RESTAURANT
KEF_B020,entity:QNL_KEF-B020,entity:QNL_B_052_CORRIDOR-3,entity:QNL_B_043_BINDING-PRESERVATION-SPACE
KEF_B04,entity:QNL_KEF-B04,entity:QNL_B_001A_BREAK-OUT-AREA,entity:QNL_B_002_KITCHEN
TEF_101C,entity:QNL_TEF-101C,entity:QNL_L1_E2_ELEC-SHAFT,entity:QNL_L1_061_REST-ROOM-MEN
TEF_102C,entity:QNL_TEF-102C,entity:QNL_L1_E1_ELEC-SHAFT,entity:QNL_L1_025_REST-ROOM-WOMEN
TEF_B01A,entity:QNL_TEF-B01A,entity:QNL_B_110_PLANT-ROOM-03,entity:QNL_B_046_RES-REST-ROOM-MEN
TEF_B01B,entity:QNL_TEF-B01B,entity:QNL_B_110_PLANT-ROOM-03,entity:QNL_B_047_REST-ROOM-WOMEN
TEF_B02A,entity:QNL_TEF-B02A,entity:QNL_B_070_PLANT-ROOM-02,entity:QNL_B_032_REST-ROOM-MEN
TEF_B02B,entity:QNL_TEF-B02B,entity:QNL_B_070_PLANT-ROOM-02,entity:QNL_B_033_REST-ROOM-WOMEN
TEF_B03A,entity:QNL_TEF-B03A,entity:QNL_B_120_COMPACT-SHELVING-MAIN-COLLECTION,entity:QNL_B_146_VIP-REST-ROOM
TEF_B03B,entity:QNL_TEF-B03B,entity:QNL_B_120_COMPACT-SHELVING-MAIN-COLLECTION,entity:QNL_B_147_VIP-REST-ROOM
CHW_P01,entity:QNL_CHW-P01,entity:QNL_B_220_PLANT-ROOM-04,entity:QNL_CHWS-MAIN-LOOP
CHW_P02,entity:QNL_CHW-P02,entity:QNL_B_220_PLANT-ROOM-04,entity:QNL_CHWS-MAIN-LOOP
CHW_P03,entity:QNL_CHW-P03,entity:QNL_B_220_PLANT-ROOM-04,entity:QNL_CHWS-MAIN-LOOP
CHW_P04,entity:QNL_CHW-P04,entity:QNL_B_220_PLANT-ROOM-04,entity:QNL_CHWS-MAIN-LOOP
CHWPU_P01,entity:QNL_CHWPU-P01,entity:QNL_B_220_PLANT-ROOM-04,entity:QNL_CHWS-MAIN-LOOP
