old_subject,new_subject,named_by
entity:QNL_L1_144_ILL-DIRECTOR,entity:QNL_L1-144_ILL-Director,naming sheet
entity:QNL_L1_150_RESTAURANT,entity:QNL_L1-150_Restaurant,naming sheet
entity:QNL_L1_153_FURNITURE-STORAGE,entity:QNL_L1-153_Furniture-Storage,naming sheet
entity:QNL_L1_154_CORRIDOR,entity:QNL_L1-154_Corridor,ontology (reference holds several rooms)
entity:QNL_L1_155_SECURITY-ROOM,entity:QNL_L1-155_Security-Room,ontology (reference holds several rooms)
entity:QNL_L1_156_M2-HVAC-SHAFT,entity:QNL_L1-156_M2-HVAC-Shaft,ontology (reference holds several rooms)
entity:QNL_L1_157_E2-ELEC-SHAFT,entity:QNL_L1-157_E2-Elec-Shaft,ontology (reference holds several rooms)
entity:QNL_L1_158_M1-HVAC-SHAFT,entity:QNL_L1-158_M1-HVAC-Shaft,ontology (reference holds several rooms)
entity:QNL_L1_159_E1-ELEC-SHAFT,entity:QNL_L1-159_E1-Elec-Shaft,ontology (reference holds several rooms)
entity:QNL_L1_160_M3-HVAC-SHAFT,entity:QNL_L1-160_M3-HVAC-Shaft,ontology (reference holds several rooms)
entity:QNL_L1_161_N2-PIPE-SHAFT,entity:QNL_L1-161_N2-Pipe-Shaft,ontology (reference holds several rooms)
entity:QNL_L1_162_STORE,entity:QNL_L1-162_Store,ontology (reference holds several rooms)
entity:QNL_L1_990_VESTIBULE,entity:QNL_L1-990_Vestibule,naming sheet
entity:QNL_L1_991_EXTERNAL-BOOK-DROP,entity:QNL_L1-991_External-Book-Drop,naming sheet
entity:QNL_L1_BC1_BRIDGE-CEILING,entity:QNL_L1-BC1_Bridge-Ceiling,naming sheet
entity:QNL_L1_BC2_BRIDGE-CEILING,entity:QNL_L1-BC2_Bridge-Ceiling,naming sheet
entity:QNL_L1_BI_BRIDGE-IDF,entity:QNL_L1-BI_Bridge-IDF,naming sheet
entity:QNL_L1_BR1_BRIDGE-CEILING-VOID,entity:QNL_L1-BR1_Bridge-Ceiling-Void,naming sheet
entity:QNL_L1_BR2_BRIDGE-CEILING-VOID,entity:QNL_L1-BR2_Bridge-Ceiling-Void,naming sheet
entity:QNL_L1_BR3_BRIDGE-CEILING-VOID,entity:QNL_L1-BR3_Bridge-Ceiling-Void,naming sheet
entity:QNL_L1_BR4_BRIDGE-CEILING-VOID,entity:QNL_L1-BR4_Bridge-Ceiling-Void,naming sheet
entity:QNL_L1_BR5_BRIDGE-CEILING-VOID,entity:QNL_L1-BR5_Bridge-Ceiling-Void,naming sheet
entity:QNL_L1_BR6_BRIDGE-CEILING-VOID,entity:QNL_L1-BR6_Bridge-Ceiling-Void,naming sheet
entity:QNL_L1_E1_ELEC-SHAFT,entity:QNL_L1-E1_Elec-Shaft,naming sheet
entity:QNL_L1_E2_ELEC-SHAFT,entity:QNL_L1-E2_Elec-Shaft,naming sheet
entity:QNL_L1_L-1_L-1,entity:QNL_L1-L-1_L-1,ontology (reference holds several rooms)
entity:QNL_L1_L-2_L-2,entity:QNL_L1-L-2_L-2,ontology (reference holds several rooms)
entity:QNL_L1_L-3_L-3,entity:QNL_L1-L-3_L-3,naming sheet
entity:QNL_L1_L-4_L-4,entity:QNL_L1-L-4_L-4,ontology (reference holds several rooms)
entity:QNL_L1_L-5_L-5,entity:QNL_L1-L-5_L-5,ontology (reference holds several rooms)
entity:QNL_L1_RP-10_RP-10,entity:QNL_L1-RP-10_Rp-10,ontology (reference holds several rooms)
entity:QNL_L1_ST-01_ST-01,entity:QNL_L1-ST-01_ST-01,ontology (reference holds several rooms)
entity:QNL_L1_ST-02_ST-02,entity:QNL_L1-ST-02_ST-02,ontology (reference holds several rooms)
entity:QNL_L1_ST-03_ST-03,entity:QNL_L1-ST-03_ST-03,ontology (reference holds several rooms)
entity:QNL_L1_ST-10_ST-10,entity:QNL_L1-ST-10_ST-10,ontology (reference holds several rooms)
entity:QNL_L2_006_STORAGE,entity:QNL_L2-006_Storage,ontology (reference holds several rooms)
entity:QNL_L2_007_REST-ROOM-MEN,entity:QNL_L2-007_Rest-Room-Men,ontology (reference holds several rooms)
entity:QNL_L2_008_REST-ROOM-WOMEN,entity:QNL_L2-008_Rest-Room-Women,ontology (reference holds several rooms)
entity:QNL_L2_009_KDF-ROOM,entity:QNL_L2-009_KDF-Room,naming sheet
entity:QNL_L2_010_BREAKOUT-SPACE,entity:QNL_L2-010_Breakout-Space,naming sheet
entity:QNL_L2_011_CIRCULATION-OFFICE,entity:QNL_L2-011_Circulation-Office,naming sheet
entity:QNL_L2_012_OFFICE-SPEC-COL,entity:QNL_L2-012_Office-Spec-Col,naming sheet
entity:QNL_L2_013_OFFICE-SPEC-COL,entity:QNL_L2-013_Office-Spec-Col,naming sheet
entity:QNL_L2_014_TRANSL-SPC-EDI-PUBLICATIONS-SPC,entity:QNL_L2-014_Transl-Spc-Edi-Publications-Spc,naming sheet
entity:QNL_L2_015_40-GROUP-STUDY-ROOM-5,entity:QNL_L2-015_40-Group-Study-Room-5,ontology (reference holds several rooms)
entity:QNL_L2_016_40-GROUP-STUDY-ROOM-6,entity:QNL_L2-016_40-Group-Study-Room-6,ontology (reference holds several rooms)
entity:QNL_L2_017_40-GROUP-STUDY-ROOM-7,entity:QNL_L2-017_40-Group-Study-Room-7,naming sheet
entity:QNL_L2_018_GROUP-STUDY-ROOM-8,entity:QNL_L2-018_Group-Study-Room-8,naming sheet
entity:QNL_L2_021_LIBR-COM-REO-EVENTS-SPC,entity:QNL_L2-021_Libr-Com-Reo-Events-Spc,naming sheet
entity:QNL_L2_022_ACADEMIC-PERS-LIBRARIAN,entity:QNL_L2-022_Academic-Pers-Librarian,naming sheet
entity:QNL_L2_023_AD-ADMIN-PLANNING,entity:QNL_L2-023_Ad-Admin-Planning,naming sheet
entity:QNL_L2_024_OFFICE-COORD,entity:QNL_L2-024_Office-Coord,naming sheet
entity:QNL_L2_025_OPEN-OFFICE,entity:QNL_L2-025_Open-Office,naming sheet
entity:QNL_L2_041_PANTRY,entity:QNL_L2-041_Pantry,ontology (reference holds several rooms)
entity:QNL_L2_042_REST-ROOM,entity:QNL_L2-042_Rest-Room,ontology (reference holds several rooms)
entity:QNL_L2_043_SERVICE-LOUNGE,entity:QNL_L2-043_Service-Lounge,naming sheet
entity:QNL_L2_044_LIB-DIRECTORS-ROOM,entity:QNL_L2-044_Lib-Directors-Room,naming sheet
entity:QNL_L2_046_VIP-MEETING,entity:QNL_L2-046_VIP-Meeting,naming sheet
entity:QNL_L2_047_REST-ROOM,entity:QNL_L2-047_Rest-Room,ontology (reference holds several rooms)
entity:QNL_L2_048_VIP-WAITING,entity:QNL_L2-048_VIP-Waiting,naming sheet
entity:QNL_L2_049_REST-ROOM-MEN,entity:QNL_L2-049_Rest-Room-Men,ontology (reference holds several rooms)
entity:QNL_L2_050_REST-ROOM-WOMEN,entity:QNL_L2-050_Rest-Room-Women,ontology (reference holds several rooms)
entity:QNL_L2_051_VIP-ROOM,entity:QNL_L2-051_VIP-Room,naming sheet
entity:QNL_L2_070_INDIVI-STUDY-ROOM,entity:QNL_L2-070_Indivi-Study-Room,naming sheet
entity:QNL_L2_071_INDIVI-STUDY-ROOM,entity:QNL_L2-071_Indivi-Study-Room,ontology (reference holds several rooms)
entity:QNL_L2_072_INDIVI-STUDY-ROOM,entity:QNL_L2-072_Indivi-Study-Room,ontology (reference holds several rooms)
entity:QNL_L2_073_INDIVI-STUDY-ROOM,entity:QNL_L2-073_Indivi-Study-Room,naming sheet
entity:QNL_L2_074_INDIVI-STUDY-ROOM,entity:QNL_L2-074_Indivi-Study-Room,ontology (reference holds several rooms)
entity:QNL_L2_075_INDIVI-STUDY-ROOM,entity:QNL_L2-075_Indivi-Study-Room,ontology (reference holds several rooms)
entity:QNL_L2_076_GROUP-STUDY-ROOM,entity:QNL_L2-076_Group-Study-Room,naming sheet
entity:QNL_L2_077_GROUP-STUDY-ROOM,entity:QNL_L2-077_Group-Study-Room,ontology (reference holds several rooms)
entity:QNL_L2_079_REST-ROOM-MEN,entity:QNL_L2-079_Rest-Room-Men,ontology (reference holds several rooms)
entity:QNL_L2_081_GROUP-STUDY-ROOM,entity:QNL_L2-081_Group-Study-Room,naming sheet
entity:QNL_L2_085_REST-ROOM-WOMEN,entity:QNL_L2-085_Rest-Room-Women,ontology (reference holds several rooms)
entity:QNL_L2_087_AUDITORIUM-HIGH-LEVEL-IN-CEILING-VOID,entity:QNL_L2-087_Auditorium-High-Level-In-Ceiling-Void,naming sheet
entity:QNL_L2_088_BRIDGE-RAISED-FLOOR,entity:QNL_L2-088_Bridge-Raised-Floor,naming sheet
entity:QNL_L2_992_GULF-MATERIAL,entity:QNL_L2-992_Gulf-Material,naming sheet
entity:QNL_L2_993_CORRIDOR,entity:QNL_L2-993_Corridor,naming sheet
entity:QNL_L2_L-1_1-L-1,entity:QNL_L2-L-1_1-L-1,ontology (reference holds several rooms)
entity:QNL_L2_L-1_2-L-2,entity:QNL_L2-L-1_2-L-2,ontology (reference holds several rooms)
entity:QNL_L2_L-3_L-3,entity:QNL_L2-L-3_L-3,ontology (reference holds several rooms)
entity:QNL_L2_L-4_L-4,entity:QNL_L2-L-4_L-4,ontology (reference holds several rooms)
entity:QNL_L2_ST-01_ST-01,entity:QNL_L2-ST-01_ST-01,ontology (reference holds several rooms)
entity:QNL_L2_ST-02_ST-02,entity:QNL_L2-ST-02_ST-02,ontology (reference holds several rooms)
entity:QNL_P_002_PLANT-ZONE,entity:QNL_P-002_Plant-Zone,naming sheet
entity:QNL_P_004_PLANT-ZONE,entity:QNL_P-004_Plant-Zone,naming sheet
entity:QNL_P_006_PLANT-ZONE,entity:QNL_P-006_Plant-Zone,naming sheet
entity:QNL_P_007_PLANT-ZONE,entity:QNL_P-007_Plant-Zone,naming sheet
entity:QNL_T1_020_OPEN-LOUNGE-TERRACE,entity:QNL_T1-020_Open-Lounge-Terrace,naming sheet
entity:QNL_T1_021_OPEN-STUDY-TERRACE,entity:QNL_T1-021_Open-Study-Terrace,naming sheet
entity:QNL_T1_1714_IDF-ROOM,entity:QNL_T1-1714_IDF-Room,naming sheet
entity:QNL_T1_171_IDF-ROOM,entity:QNL_T1-171_IDF-Room,naming sheet
entity:QNL_T1_275_IDF-ROOM,entity:QNL_T1-275_IDF-Room,naming sheet
entity:QNL_T1_276_IDF-ROOM,entity:QNL_T1-276_IDF-Room,naming sheet
entity:QNL_T1_323_IDF-ROOM,entity:QNL_T1-323_IDF-Room,naming sheet
