old_subject,new_subject,named_by
entity:QNL_B_064_CORRIDOR-2,entity:QNL_B-064_Corridor-2,naming sheet
entity:QNL_B_065_VENTILATION,entity:QNL_B-065_Ventilation,ontology (reference holds several rooms)
entity:QNL_B_066_CORRIDOR,entity:QNL_B-066_Corridor,ontology (reference holds several rooms)
entity:QNL_B_067_VENTILATION,entity:QNL_B-067_Ventilation,ontology (reference holds several rooms)
entity:QNL_B_068_CORRIDOR,entity:QNL_B-068_Corridor,ontology (reference holds several rooms)
entity:QNL_B_070_PLANT-ROOM-02,entity:QNL_B-070_Plant-Room-02,naming sheet
entity:QNL_B_071_FIRE-COMMAND-ROOM,entity:QNL_B-071_Fire-Command-Room,naming sheet
entity:QNL_B_072_SPRINKLERS-PUMPS-ZONES-VALVES,entity:QNL_B-072_Sprinklers-Pumps-Zones-Valves,naming sheet
entity:QNL_B_080_GENERATOR,entity:QNL_B-080_Generator,naming sheet
entity:QNL_B_081_MV-ROOM,entity:QNL_B-081_MV-Room,ontology (reference holds several rooms)
entity:QNL_B_082_TRANSFORMER-ROOM,entity:QNL_B-082_Transformer-Room,naming sheet
entity:QNL_B_083_HV-ROOM,entity:QNL_B-083_HV-Room,naming sheet
entity:QNL_B_084_UPS-BATTERY-ROOM,entity:QNL_B-084_UPS-Battery-Room,naming sheet
entity:QNL_B_085_FUMIGATION-ROOM,entity:QNL_B-085_Fumigation-Room,naming sheet
entity:QNL_B_086_FREEZE-AREA,entity:QNL_B-086_Freeze-Area,ontology (reference holds several rooms)
entity:QNL_B_087_GAS-SUPPRESSION-ROOM,entity:QNL_B-087_Gas-Suppression-Room,naming sheet
entity:QNL_B_088_PEOPLE-MOVER-PLANT,entity:QNL_B-088_People-Mover-Plant,naming sheet
entity:QNL_B_089_SERVER-ROOM,entity:QNL_B-089_Server-Room,naming sheet
entity:QNL_B_091_FUEL-ROOM,entity:QNL_B-091_Fuel-Room,naming sheet
entity:QNL_B_0924_FUEL-TANK-CHERRY-PICKER-PARKING,entity:QNL_B-0924_Fuel-Tank-Cherry-Picker-Parking,ontology (reference holds several rooms)
entity:QNL_B_092_STORAGE,entity:QNL_B-092_Storage,naming sheet
entity:QNL_B_093_TRASH-CHAMBER,entity:QNL_B-093_Trash-Chamber,naming sheet
entity:QNL_B_095_EMERGENCY-LIGHTING-BATTERY-ROOM,entity:QNL_B-095_Emergency-Lighting-Battery-Room,naming sheet
entity:QNL_B_100_LOADING-DOCK,entity:QNL_B-100_Loading-Dock,ontology (reference holds several rooms)
entity:QNL_B_101_SHIPPING-CLERK,entity:QNL_B-101_Shipping-Clerk,naming sheet
entity:QNL_B_102_SECURITY-BMS,entity:QNL_B-102_Security-BMS,ontology (reference holds several rooms)
entity:QNL_B_103_PROCESSING-ROOM,entity:QNL_B-103_Processing-Room,naming sheet
entity:QNL_B_104A_PLANT-ROOM,entity:QNL_B-104A_Plant-Room,naming sheet
entity:QNL_B_104_STORAGE,entity:QNL_B-104_Storage,naming sheet
entity:QNL_B_105_SECURITY-CONTROL-ROOM,entity:QNL_B-105_Security-Control-Room,naming sheet
entity:QNL_B_106_RES-REST-ROOM-SECURITY,entity:QNL_B-106_Res-Rest-Room-Security,ontology (reference holds several rooms)
entity:QNL_B_106_SEC-SECURITY-STORES-SECURITY-UPS,entity:QNL_B-106_Sec-Security-Stores-Security-UPS,ontology (reference holds several rooms)
entity:QNL_B_107_SECURITY-EQUIPMENT-ROOM,entity:QNL_B-107_Security-Equipment-Room,naming sheet
entity:QNL_B_108_TOILET,entity:QNL_B-108_Toilet,ontology (reference holds several rooms)
entity:QNL_B_109_LOADING-AREA,entity:QNL_B-109_Loading-Area,naming sheet
entity:QNL_B_110_PLANT-ROOM-03,entity:QNL_B-110_Plant-Room-03,naming sheet
entity:QNL_B_111_STORAGE,entity:QNL_B-111_Storage,ontology (reference holds several rooms)
entity:QNL_B_112_CORRIDOR,entity:QNL_B-112_Corridor,ontology (reference holds several rooms)
entity:QNL_B_113_MAINTENANCE,entity:QNL_B-113_Maintenance,ontology (reference holds several rooms)
entity:QNL_B_114_VENTILATION,entity:QNL_B-114_Ventilation,ontology (reference holds several rooms)
entity:QNL_B_115_CORRIDOR,entity:QNL_B-115_Corridor,ontology (reference holds several rooms)
entity:QNL_B_116_VENTILATION,entity:QNL_B-116_Ventilation,ontology (reference holds several rooms)
entity:QNL_B_120_COMPACT-SHELVING-MAIN-COLLECTION,entity:QNL_B-120_Compact-Shelving-Main-Collection,naming sheet
entity:QNL_B_121_SORTING-SHELVING-ROOM,entity:QNL_B-121_Sorting-Shelving-Room,naming sheet
entity:QNL_B_122_IT-OFFICE,entity:QNL_B-122_IT-Office,naming sheet
entity:QNL_B_132_SHELL-SPACE-SPECIAL-COLLECTION,entity:QNL_B-132_Shell-Space-Special-Collection,naming sheet
entity:QNL_B_140_HL-PLANT-ROOM,entity:QNL_B-140_Hl-Plant-Room,naming sheet
entity:QNL_B_141_HLP-HL-PLANT-ROOM,entity:QNL_B-141_Hlp-Hl-Plant-Room,ontology (reference holds several rooms)
entity:QNL_B_141_VAU-VAULT,entity:QNL_B-141_Vau-Vault,ontology (reference holds several rooms)
entity:QNL_B_142_CORRIDOR,entity:QNL_B-142_Corridor,ontology (reference holds several rooms)
entity:QNL_B_143_HERITAGE-COLLECTION,entity:QNL_B-143_Heritage-Collection,ontology (reference holds several rooms)
entity:QNL_B_144_PANTRY,entity:QNL_B-144_Pantry,ontology (reference holds several rooms)
entity:QNL_B_145_LOBBY-SECURITY,entity:QNL_B-145_Lobby-Security,naming sheet
entity:QNL_B_146_VIP-REST-ROOM,entity:QNL_B-146_VIP-Rest-Room,ontology (reference holds several rooms)
entity:QNL_B_147_VIP-REST-ROOM,entity:QNL_B-147_VIP-Rest-Room,ontology (reference holds several rooms)
entity:QNL_B_148_VIP-MAJLIS,entity:QNL_B-148_VIP-Majlis,ontology (reference holds several rooms)
entity:QNL_B_149_DIRECTOR-HEAD,entity:QNL_B-149_Director-Head,naming sheet
entity:QNL_B_150_ASSISTANT-HEAD,entity:QNL_B-150_Assistant-Head,ontology (reference holds several rooms)
entity:QNL_B_151_RESEARCH-DOC-RCRDS-MGMT,entity:QNL_B-151_Research-Doc-Rcrds-Mgmt,naming sheet
entity:QNL_B_152_SECURITY-ROOM,entity:QNL_B-152_Security-Room,naming sheet
entity:QNL_B_153_PROF-LIBRARIAN,entity:QNL_B-153_Prof-Librarian,naming sheet
entity:QNL_B_155_FACULTY-CARRELS,entity:QNL_B-155_Faculty-Carrels,naming sheet
entity:QNL_B_156_FACULTY-CARRELS,entity:QNL_B-156_Faculty-Carrels,ontology (reference holds several rooms)
entity:QNL_B_157_FACULTY-CARRELS,entity:QNL_B-157_Faculty-Carrels,ontology (reference holds several rooms)
entity:QNL_B_158_FACULTY-CARRELS,entity:QNL_B-158_Faculty-Carrels,ontology (reference holds several rooms)
entity:QNL_B_159_FACULTY-CARRELS,entity:QNL_B-159_Faculty-Carrels,ontology (reference holds several rooms)
entity:QNL_B_160_FACULTY-CARRELS,entity:QNL_B-160_Faculty-Carrels,ontology (reference holds several rooms)
entity:QNL_B_161_FACULTY-CARRELS,entity:QNL_B-161_Faculty-Carrels,ontology (reference holds several rooms)
entity:QNL_B_162_FACULTY-CARRELS,entity:QNL_B-162_Faculty-Carrels,ontology (reference holds several rooms)
entity:QNL_B_163_FACULTY-CARRELS,entity:QNL_B-163_Faculty-Carrels,ontology (reference holds several rooms)
entity:QNL_B_164_FACULTY-CARRELS,entity:QNL_B-164_Faculty-Carrels,ontology (reference holds several rooms)
entity:QNL_B_165_FACULTY-CARRELS,entity:QNL_B-165_Faculty-Carrels,ontology (reference holds several rooms)
entity:QNL_B_166_FACULTY-CARRELS,entity:QNL_B-166_Faculty-Carrels,ontology (reference holds several rooms)
entity:QNL_B_167_FACULTY-CARRELS,entity:QNL_B-167_Faculty-Carrels,ontology (reference holds several rooms)
entity:QNL_B_168_FACULTY-CARRELS,entity:QNL_B-168_Faculty-Carrels,ontology (reference holds several rooms)
entity:QNL_B_169_FACULTY-CARRELS,entity:QNL_B-169_Faculty-Carrels,ontology (reference holds several rooms)
entity:QNL_B_200_DIGITIZATION,entity:QNL_B-200_Digitization,naming sheet
entity:QNL_B_201_REST-ROOM-MEN,entity:QNL_B-201_Rest-Room-Men,ontology (reference holds several rooms)
entity:QNL_B_202_REST-ROOM-WOMEN,entity:QNL_B-202_Rest-Room-Women,ontology (reference holds several rooms)
entity:QNL_B_203_STORAGE-ROOM,entity:QNL_B-203_Storage-Room,naming sheet
entity:QNL_B_204_TECHNICAL-SERVICES,entity:QNL_B-204_Technical-Services,naming sheet
entity:QNL_B_205_INSTRUCTION-PRESENTATION,entity:QNL_B-205_Instruction-Presentation,naming sheet
entity:QNL_B_206_INSTRUCTION-OUTREACH,entity:QNL_B-206_Instruction-Outreach,naming sheet
entity:QNL_B_207_RESEARCHERS-READING-AREA,entity:QNL_B-207_Researchers-Reading-Area,naming sheet
entity:QNL_B_208_PROF-LIBRARIAN,entity:QNL_B-208_Prof-Librarian,naming sheet
entity:QNL_B_209_CONSERVATION-WORK-AREA,entity:QNL_B-209_Conservation-Work-Area,naming sheet
entity:QNL_B_210_FM-STORAGE,entity:QNL_B-210_FM-Storage,naming sheet
entity:QNL_B_211_PH-PLANT-ROOM,entity:QNL_B-211_Ph-Plant-Room,naming sheet
entity:QNL_B_212_MISTING-PUMP-ROOM,entity:QNL_B-212_Misting-Pump-Room,naming sheet
entity:QNL_B_213_MISTING-SYSTEM,entity:QNL_B-213_Misting-System,ontology (reference holds several rooms)
entity:QNL_B_214_COR-CORRIDOR6,entity:QNL_B-214_Cor-Corridor6,ontology (reference holds several rooms)
entity:QNL_B_214_IDF-IDF-ROOM,entity:QNL_B-214_IDF-IDF-Room,ontology (reference holds several rooms)
entity:QNL_B_214_IDF-ROOM,entity:QNL_B-214_IDF-Room,ontology (reference holds several rooms)
entity:QNL_B_215A_IDF,entity:QNL_B-215A_IDF,naming sheet
entity:QNL_B_215_IDF-FM-STORAGE,entity:QNL_B-215_IDF-FM-Storage,naming sheet
entity:QNL_B_220_PLANT-ROOM-04,entity:QNL_B-220_Plant-Room-04,naming sheet
entity:QNL_B_221_MAINTENANCE,entity:QNL_B-221_Maintenance,ontology (reference holds several rooms)
entity:QNL_B_222_IDF,entity:QNL_B-222_IDF,naming sheet
entity:QNL_B_223_VENTILATION,entity:QNL_B-223_Ventilation,ontology (reference holds several rooms)
entity:QNL_B_224_CORRIDOR,entity:QNL_B-224_Corridor,ontology (reference holds several rooms)
entity:QNL_B_225_VENTILATION,entity:QNL_B-225_Ventilation,ontology (reference holds several rooms)
entity:QNL_B_226_PUMP-ROOM,entity:QNL_B-226_Pump-Room,naming sheet
entity:QNL_B_227_CORRIDOR,entity:QNL_B-227_Corridor,ontology (reference holds several rooms)
entity:QNL_B_228_M1-HVAC-SHAFT,entity:QNL_B-228_M1-HVAC-Shaft,ontology (reference holds several rooms)
entity:QNL_B_229_E1-ELEC-SHAFT,entity:QNL_B-229_E1-Elec-Shaft,ontology (reference holds several rooms)
entity:QNL_B_230_REFR-STORE,entity:QNL_B-230_Refr-Store,ontology (reference holds several rooms)
entity:QNL_B_231_DISH-WASHING,entity:QNL_B-231_Dish-Washing,ontology (reference holds several rooms)
entity:QNL_B_232_DRY-STORE,entity:QNL_B-232_Dry-Store,ontology (reference holds several rooms)
entity:QNL_B_233_WC5-RISER,entity:QNL_B-233_Wc5-Riser,ontology (reference holds several rooms)
entity:QNL_B_234_E3-ELEC-SHAFT,entity:QNL_B-234_E3-Elec-Shaft,ontology (reference holds several rooms)
entity:QNL_B_235_M2-HVAC-SHAFT-ABOVE,entity:QNL_B-235_M2-HVAC-Shaft-Above,ontology (reference holds several rooms)
entity:QNL_B_236_WC1-RISER,entity:QNL_B-236_Wc1-Riser,ontology (reference holds several rooms)
entity:QNL_B_237_CORRIDOR,entity:QNL_B-237_Corridor,ontology (reference holds several rooms)
entity:QNL_B_238_M3-HVAC-SHAFT,entity:QNL_B-238_M3-HVAC-Shaft,ontology (reference holds several rooms)
entity:QNL_B_59_SHELL-SPACE,entity:QNL_B-059_Shell-Space,naming sheet
entity:QNL_B_AT-04A_ST-04A,entity:QNL_B-AT-04A_ST-04a,ontology (reference holds several rooms)
entity:QNL_B_L-15_L-15,entity:QNL_B-L-15_L-15,ontology (reference holds several rooms)
entity:QNL_B_L-1_L-1,entity:QNL_B-L-1_L-1,ontology (reference holds several rooms)
entity:QNL_B_L-2_L-2,entity:QNL_B-L-2_L-2,ontology (reference holds several rooms)
entity:QNL_B_L-3_L-3,entity:QNL_B-L-3_L-3,ontology (reference holds several rooms)
entity:QNL_B_L-4_L-4,entity:QNL_B-L-4_L-4,ontology (reference holds several rooms)
entity:QNL_B_ST-01_ST-01,entity:QNL_B-ST-01_ST-01,ontology (reference holds several rooms)
entity:QNL_B_ST-02_ST-02,entity:QNL_B-ST-02_ST-02,ontology (reference holds several rooms)
entity:QNL_B_ST-03_ST-03,entity:QNL_B-ST-03_ST-03,ontology (reference holds several rooms)
entity:QNL_B_ST-04_ST-04,entity:QNL_B-ST-04_ST-04,ontology (reference holds several rooms)
entity:QNL_B_ST-05_ST-05,entity:QNL_B-ST-05_ST-05,ontology (reference holds several rooms)
entity:QNL_B_ST-11_ST-11,entity:QNL_B-ST-11_ST-11,ontology (reference holds several rooms)
entity:QNL_B_ST-12_ST-12,entity:QNL_B-ST-12_ST-12,ontology (reference holds several rooms)
entity:QNL_L1_001_OPEN-READING-AREA,entity:QNL_L1-001_Open-Reading-Area,naming sheet
entity:QNL_L1_002A_GREEN-ROOM,entity:QNL_L1-002A_Green-Room,naming sheet
entity:QNL_L1_002_BRAILLE-READER,entity:QNL_L1-002_Braille-Reader,naming sheet
entity:QNL_L1_003_TUTORING-HEAD,entity:QNL_L1-003_Tutoring-Head,naming sheet
entity:QNL_L1_004_WRITING-ROOM1,entity:QNL_L1-004_Writing-Room1,naming sheet
entity:QNL_L1_005_WRITING-ROOM2,entity:QNL_L1-005_Writing-Room2,naming sheet
entity:QNL_L1_006_WRITING-HEAD,entity:QNL_L1-006_Writing-Head,ontology (reference holds several rooms)
entity:QNL_L1_007_STUDENT-CARRELS,entity:QNL_L1-007_Student-Carrels,naming sheet
entity:QNL_L1_020_INFO-LITERACY-INSTR1,entity:QNL_L1-020_Info-Literacy-Instr1,naming sheet
entity:QNL_L1_021_INFO-LITERACY-INSTR2,entity:QNL_L1-021_Info-Literacy-Instr2,naming sheet
entity:QNL_L1_022_COMPUTER-CLASSROOM,entity:QNL_L1-022_Computer-Classroom,naming sheet
entity:QNL_L1_023_1-CORRIDOR,entity:QNL_L1-023_1-Corridor,ontology (reference holds several rooms)
entity:QNL_L1_023_2-CORRIDOR,entity:QNL_L1-023_2-Corridor,ontology (reference holds several rooms)
entity:QNL_L1_023_3-CORRIDOR,entity:QNL_L1-023_3-Corridor,ontology (reference holds several rooms)
entity:QNL_L1_023_CORRIDOR,entity:QNL_L1-023_Corridor,ontology (reference holds several rooms)
entity:QNL_L1_024_REST-ROOM-MEN,entity:QNL_L1-024_Rest-Room-Men,ontology (reference holds several rooms)
entity:QNL_L1_025_REST-ROOM-WOMEN,entity:QNL_L1-025_Rest-Room-Women,ontology (reference holds several rooms)
entity:QNL_L1_026_GROUP-STUDY-ROOM1,entity:QNL_L1-026_Group-Study-Room1,naming sheet
entity:QNL_L1_027_GROUP-STUDY-ROOM2,entity:QNL_L1-027_Group-Study-Room2,naming sheet
entity:QNL_L1_028_GROUP-STUDY-ROOM3,entity:QNL_L1-028_Group-Study-Room3,naming sheet
entity:QNL_L1_029_GROUP-STUDY-ROOM4,entity:QNL_L1-029_Group-Study-Room4,naming sheet
entity:QNL_L1_030_ICT-ROOM-02,entity:QNL_L1-030_ICT-Room-02,naming sheet
entity:QNL_L1_040_HEAD-LIBRARIAN-OFFICE,entity:QNL_L1-040_Head-Librarian-Office,naming sheet
entity:QNL_L1_041_MULTIPURPOSE-ROOM,entity:QNL_L1-041_Multipurpose-Room,naming sheet
entity:QNL_L1_042_LOBBY,entity:QNL_L1-042_Lobby,ontology (reference holds several rooms)
entity:QNL_L1_043_BABY-CHAN,entity:QNL_L1-043_Baby-Chan,ontology (reference holds several rooms)
entity:QNL_L1_044_BREAST-FEEDING,entity:QNL_L1-044_Breast-Feeding,ontology (reference holds several rooms)
entity:QNL_L1_045_FEMALE-TOILET,entity:QNL_L1-045_Female-Toilet,ontology (reference holds several rooms)
entity:QNL_L1_046_MALE-TOILET,entity:QNL_L1-046_Male-Toilet,ontology (reference holds several rooms)
entity:QNL_L1_047_CHILDREN-LIBRARY-PRE-SCHOOL-READING-PLAYING,entity:QNL_L1-047_Children-Library-Pre-School-Reading-Playing,naming sheet
entity:QNL_L1_048_STAFF-OFFICE,entity:QNL_L1-048_Staff-Office,naming sheet
entity:QNL_L1_049_STORAGE,entity:QNL_L1-049_Storage,ontology (reference holds several rooms)
entity:QNL_L1_050_STROLLER-PARKING,entity:QNL_L1-050_Stroller-Parking,ontology (reference holds several rooms)
entity:QNL_L1_061_REST-ROOM-MEN,entity:QNL_L1-061_Rest-Room-Men,ontology (reference holds several rooms)
entity:QNL_L1_062_REST-ROOM-WOMEN,entity:QNL_L1-062_Rest-Room-Women,ontology (reference holds several rooms)
entity:QNL_L1_063_MEDIA-STUDIO-1,entity:QNL_L1-063_Media-Studio-1,naming sheet
entity:QNL_L1_064_STORAGE,entity:QNL_L1-064_Storage,ontology (reference holds several rooms)
entity:QNL_L1_065_MEDIA-STUDIO-1,entity:QNL_L1-065_Media-Studio-1,naming sheet
entity:QNL_L1_067_FRO-FRONT-KITCHEN,entity:QNL_L1-067_Fro-Front-Kitchen,ontology (reference holds several rooms)
entity:QNL_L1_067_RES-RESTAURANT,entity:QNL_L1-067_Res-Restaurant,ontology (reference holds several rooms)
entity:QNL_L1_067_RESTAURANT,entity:QNL_L1-067_Restaurant,ontology (reference holds several rooms)
entity:QNL_L1_080_PUBLIC-SERVICE,entity:QNL_L1-080_Public-Service,naming sheet
entity:QNL_L1_081_BIBLIOGRAPHER1,entity:QNL_L1-081_Bibliographer1,naming sheet
entity:QNL_L1_082_BIBLIOGRAPHER2,entity:QNL_L1-082_Bibliographer2,naming sheet
entity:QNL_L1_083_SPEC-COLL-ARCH,entity:QNL_L1-083_Spec-Coll-Arch,naming sheet
entity:QNL_L1_084_R-L-SERVICES,entity:QNL_L1-084_R-L-Services,naming sheet
entity:QNL_L1_085_AD-PUBLIC-SERVICE,entity:QNL_L1-085_Ad-Public-Service,naming sheet
entity:QNL_L1_086_REF-LIBRARIAN-1,entity:QNL_L1-086_Ref-Librarian-1,naming sheet
entity:QNL_L1_087_REF-LIBRARIAN-2,entity:QNL_L1-087_Ref-Librarian-2,naming sheet
entity:QNL_L1_088_REF-LIBRARIAN-3,entity:QNL_L1-088_Ref-Librarian-3,naming sheet
entity:QNL_L1_089_REF-LIBRARIAN-4,entity:QNL_L1-089_Ref-Librarian-4,naming sheet
entity:QNL_L1_090_REF-LIBRARIAN-5,entity:QNL_L1-090_Ref-Librarian-5,naming sheet
entity:QNL_L1_091_REF-LIBRARIAN-6,entity:QNL_L1-091_Ref-Librarian-6,naming sheet
entity:QNL_L1_092_REF-LIBRARIAN-7,entity:QNL_L1-092_Ref-Librarian-7,naming sheet
entity:QNL_L1_093_REF-LIBRARIAN-8,entity:QNL_L1-093_Ref-Librarian-8,naming sheet
entity:QNL_L1_094_REF-LIBRARIAN-9,entity:QNL_L1-094_Ref-Librarian-9,naming sheet
entity:QNL_L1_095_REF-LIBRARIAN-10,entity:QNL_L1-095_Ref-Librarian-10,naming sheet
entity:QNL_L1_096_REF-LIBRARIAN-11,entity:QNL_L1-096_Ref-Librarian-11,naming sheet
entity:QNL_L1_097_REF-LIBRARIAN-12,entity:QNL_L1-097_Ref-Librarian-12,naming sheet
entity:QNL_L1_098_STORAGE,entity:QNL_L1-098_Storage,ontology (reference holds several rooms)
entity:QNL_L1_099_IDF-ROOM-02,entity:QNL_L1-099_IDF-Room-02,naming sheet
entity:QNL_L1_100_AERIAL-PLATFORM-PARKING,entity:QNL_L1-100_Aerial-Platform-Parking,naming sheet
entity:QNL_L1_101_REST-ROOM-MEN,entity:QNL_L1-101_Rest-Room-Men,ontology (reference holds several rooms)
entity:QNL_L1_102_REST-ROOM-WOMEN,entity:QNL_L1-102_Rest-Room-Women,ontology (reference holds several rooms)
entity:QNL_L1_104_FEM-PRAYER-ROOM-FEMALE,entity:QNL_L1-104_Fem-Prayer-Room-Female,ontology (reference holds several rooms)
entity:QNL_L1_104_MEL-PRAYER-ROOM-MALE,entity:QNL_L1-104_Mel-Prayer-Room-Male,ontology (reference holds several rooms)
entity:QNL_L1_104_PRAYER-ROOM-FEMALE,entity:QNL_L1-104_Prayer-Room-Female,ontology (reference holds several rooms)
entity:QNL_L1_105_ABLUTION-MEN,entity:QNL_L1-105_Ablution-Men,naming sheet
entity:QNL_L1_106_ABLUTION-WOMEN,entity:QNL_L1-106_Ablution-Women,naming sheet
entity:QNL_L1_130_PUBLIC-SPACE,entity:QNL_L1-130_Public-Space,ontology (reference holds several rooms)
entity:QNL_L1_140_SPECIAL-EVENTS,entity:QNL_L1-140_Special-Events,ontology (reference holds several rooms)
entity:QNL_L1_142_LEARNING-COMMONS,entity:QNL_L1-142_Learning-Commons,ontology (reference holds several rooms)
