sheet,tag,entity,status,detail
CAV Units,CAV/B/S13/013,entity:QNL_CAV_B_S13_013,matched,1 unit(s)
CAV Units,CAV/B/S13/014,entity:QNL_CAV_B_S13_014,matched,1 unit(s)
CAV Units,CAV/B/S13/015,entity:QNL_CAV_B_S13_015,matched,1 unit(s)
CAV Units,CAV/B/S13/020,entity:QNL_CAV_B_S13_020,matched,1 unit(s)
CAV Units,CAV/B/S13/021,entity:QNL_CAV_B_S13_021,matched,1 unit(s)
CAV Units,CAV/B/S14/001,entity:QNL_CAV_B_S14_001,matched,1 unit(s)
CAV Units,CAV/B/S14/002,entity:QNL_CAV_B_S14_002,matched,1 unit(s)
CAV Units,CAV/B/S14/03,entity:QNL_CAV_B_S14_003,matched,1 unit(s)
CAV Units,CAV/B/S14/04,entity:QNL_CAV_B_S14_004,matched,1 unit(s)
CAV Units,CAV/B/S14/05,entity:QNL_CAV_B_S14_005,matched,1 unit(s)
CAV Units,CAV/B/S15/001,entity:QNL_CAV_B_S15_001,matched,1 unit(s)
CAV Units,CAV/B/S15/002,entity:QNL_CAV_B_S15_002,matched,1 unit(s)
CAV Units,CAV/B/S15/003,entity:QNL_CAV_B_S15_003,matched,1 unit(s)
CAV Units,CAV/1F/S11/004,,unmatched,no ontology entity for this tag
CAV Units,CAV/1F/S11/005,,unmatched,no ontology entity for this tag
CAV Units,CAV/1F/S15/007,,unmatched,no ontology entity for this tag
CAV Units,CAV/B/S13/016,,unmatched,no ontology entity for this tag
CAV Units,CAV/B/S13/017,,unmatched,no ontology entity for this tag
CAV Units,CAV/B/S13/018,,unmatched,no ontology entity for this tag
CAV Units,CAV/B/S13/019,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S11/001,entity:QNL_VAV_1F_S11_001,matched,1 unit(s)
VAV Units,VAV/1F/S11/002,entity:QNL_VAV_1F_S11_002,matched,1 unit(s)
VAV Units,VAV/1F/S11/003,entity:QNL_VAV_1F_S11_003,matched,1 unit(s)
VAV Units,VAV/1F/S11/004,entity:QNL_VAV_1F_S11_004,matched,1 unit(s)
VAV Units,VAV/1F/S11/005,entity:QNL_VAV_1F_S11_005,matched,1 unit(s)
VAV Units,VAV/1F/S11/006,entity:QNL_VAV_1F_S11_006,matched,1 unit(s)
VAV Units,VAV/1F/S11/007,entity:QNL_VAV_1F_S11_007,matched,1 unit(s)
VAV Units,VAV/1F/S11/008,entity:QNL_VAV_1F_S11_008,matched,1 unit(s)
VAV Units,VAV/1F/S11/009,entity:QNL_VAV_1F_S11_009,matched,1 unit(s)
VAV Units,VAV/1F/S11/010,entity:QNL_VAV_1F_S11_010,matched,1 unit(s)
VAV Units,VAV/1F/S11/011,entity:QNL_VAV_1F_S11_011,matched,1 unit(s)
VAV Units,VAV/1F/S11/012,entity:QNL_VAV_1F_S11_012,matched,1 unit(s)
VAV Units,VAV/1F/S11/013,entity:QNL_VAV_1F_S11_013,matched,1 unit(s)
VAV Units,VAV/1F/S11/014,entity:QNL_VAV_1F_S11_014,matched,1 unit(s)
VAV Units,VAV/1F/S11/015,entity:QNL_VAV_1F_S11_015,matched,1 unit(s)
VAV Units,VAV/1F/S11/016,entity:QNL_VAV_1F_S11_016,matched,1 unit(s)
VAV Units,VAV/1F/S11/017,entity:QNL_VAV_1F_S11_017,matched,1 unit(s)
VAV Units,VAV/1F/S11/018,entity:QNL_VAV_1F_S11_018,matched,1 unit(s)
VAV Units,VAV/1F/S11/019,entity:QNL_VAV_1F_S11_019,matched,1 unit(s)
VAV Units,VAV/1F/S11/020,entity:QNL_VAV_1F_S11_020,matched,1 unit(s)
VAV Units,VAV/1F/S11/021,entity:QNL_VAV_1F_S11_021,matched,1 unit(s)
VAV Units,VAV/1F/S11/022,entity:QNL_VAV_1F_S11_022,matched,1 unit(s)
VAV Units,VAV/1F/S15/001,entity:QNL_VAV_1F_S15_001,matched,1 unit(s)
VAV Units,VAV/1F/S15/002,entity:QNL_VAV_1F_S15_002,matched,1 unit(s)
VAV Units,VAV/1F/S15/003,entity:QNL_VAV_1F_S15_003,matched,1 unit(s)
VAV Units,VAV/1F/S15/004,entity:QNL_VAV_1F_S15_004,matched,1 unit(s)
VAV Units,VAV/1F/S15/005,entity:QNL_VAV_1F_S15_005,matched,1 unit(s)
VAV Units,VAV/1F/S15/006,entity:QNL_VAV_1F_S15_006,matched,1 unit(s)
VAV Units,VAV/1F/S15/007,entity:QNL_VAV_1F_S15_007,matched,1 unit(s)
VAV Units,VAV/1F/S15/008,entity:QNL_VAV_1F_S15_008,matched,1 unit(s)
VAV Units,VAV/1F/S15/009,entity:QNL_VAV_1F_S15_009,matched,1 unit(s)
VAV Units,VAV/1F/S15/010,entity:QNL_VAV_1F_S15_010,matched,1 unit(s)
VAV Units,VAV/1F/S15/011,entity:QNL_VAV_1F_S15_011,matched,1 unit(s)
VAV Units,VAV/1F/S15/012,entity:QNL_VAV_1F_S15_012,matched,1 unit(s)
VAV Units,VAV/1F/S15/021,entity:QNL_VAV_1F_S15_021,matched,1 unit(s)
VAV Units,VAV/1F/S15/022,entity:QNL_VAV_1F_S15_022,matched,1 unit(s)
VAV Units,VAV/1F/S15/023,entity:QNL_VAV_1F_S15_023,matched,1 unit(s)
VAV Units,VAV/1F/S15/024,entity:QNL_VAV_1F_S15_024,matched,1 unit(s)
VAV Units,VAV/1F/S15/025,entity:QNL_VAV_1F_S15_025,matched,1 unit(s)
VAV Units,VAV/1F/S15/038,entity:QNL_VAV_1F_S15_038,matched,1 unit(s)
VAV Units,VAV/1F/S15/039,entity:QNL_VAV_1F_S15_039,matched,1 unit(s)
VAV Units,VAV/1F/S15/040,entity:QNL_VAV_1F_S15_040,matched,1 unit(s)
VAV Units,VAV/B/S10/001,entity:QNL_VAV_B_S10_001,matched,1 unit(s)
VAV Units,VAV/B/S10/008,entity:QNL_VAV_B_S10_008,matched,1 unit(s)
VAV Units,VAV/B/S10/009,entity:QNL_VAV_B_S10_009,matched,1 unit(s)
VAV Units,VAV/B/S10/010,entity:QNL_VAV_B_S10_010,matched,1 unit(s)
VAV Units,VAV/B/S10/011,entity:QNL_VAV_B_S10_011,matched,1 unit(s)
VAV Units,VAV/B/S10/012,entity:QNL_VAV_B_S10_012,matched,1 unit(s)
VAV Units,VAV/B/S10/013,entity:QNL_VAV_B_S10_013,matched,1 unit(s)
VAV Units,VAV/B/S10/014,entity:QNL_VAV_B_S10_014,matched,1 unit(s)
VAV Units,VAV/B/S10/015,entity:QNL_VAV_B_S10_015,matched,1 unit(s)
VAV Units,VAV/B/S10/016,entity:QNL_VAV_B_S10_016,matched,1 unit(s)
VAV Units,VAV/B/S10/017,entity:QNL_VAV_B_S10_017,matched,1 unit(s)
VAV Units,VAV/B/S10/018,entity:QNL_VAV_B_S10_018,matched,1 unit(s)
VAV Units,VAV/B/S10/019,entity:QNL_VAV_B_S10_019,matched,1 unit(s)
VAV Units,VAV/B/S10/020,entity:QNL_VAV_B_S10_020,matched,1 unit(s)
VAV Units,VAV/B/S10/021,entity:QNL_VAV_B_S10_021,matched,1 unit(s)
VAV Units,VAV/B/S10/022,entity:QNL_VAV_B_S10_022,matched,1 unit(s)
VAV Units,VAV/B/S10/023,entity:QNL_VAV_B_S10_023,matched,1 unit(s)
VAV Units,VAV/B/S11/001,entity:QNL_VAV_B_S11_001,matched,1 unit(s)
VAV Units,VAV/B/S11/002,entity:QNL_VAV_B_S11_002,matched,1 unit(s)
VAV Units,VAV/B/S11/003,entity:QNL_VAV_B_S11_003,matched,1 unit(s)
VAV Units,VAV/B/S11/004,entity:QNL_VAV_B_S11_004,matched,1 unit(s)
VAV Units,VAV/B/S11/005,entity:QNL_VAV_B_S11_005,matched,1 unit(s)
VAV Units,VAV/B/S11/006,entity:QNL_VAV_B_S11_006,matched,1 unit(s)
VAV Units,VAV/B/S11/007,entity:QNL_VAV_B_S11_007,matched,1 unit(s)
VAV Units,VAV/B/S11/008,entity:QNL_VAV_B_S11_008,matched,1 unit(s)
VAV Units,VAV/B/S11/009,entity:QNL_VAV_B_S11_009,matched,1 unit(s)
VAV Units,VAV/B/S11/010,entity:QNL_VAV_B_S11_010,matched,1 unit(s)
VAV Units,VAV/B/S11/011,entity:QNL_VAV_B_S11_011,matched,1 unit(s)
VAV Units,VAV/B/S11/012,entity:QNL_VAV_B_S11_012,matched,1 unit(s)
VAV Units,VAV/B/S11/013,entity:QNL_VAV_B_S11_013,matched,1 unit(s)
VAV Units,VAV/B/S11/014,entity:QNL_VAV_B_S11_014,matched,1 unit(s)
VAV Units,VAV/B/S11/015,entity:QNL_VAV_B_S11_015,matched,1 unit(s)
VAV Units,VAV/B/S11/016,entity:QNL_VAV_B_S11_016,matched,1 unit(s)
VAV Units,VAV/B/S11/017,entity:QNL_VAV_B_S11_017,matched,1 unit(s)
VAV Units,VAV/B/S11/018,entity:QNL_VAV_B_S11_018,matched,1 unit(s)
VAV Units,VAV/B/S11/019,entity:QNL_VAV_B_S11_019,matched,1 unit(s)
VAV Units,VAV/B/S11/020,entity:QNL_VAV_B_S11_020,matched,1 unit(s)
VAV Units,VAV/B/S11/021,entity:QNL_VAV_B_S11_021,matched,1 unit(s)
VAV Units,VAV/B/S11/022,entity:QNL_VAV_B_S11_022,matched,1 unit(s)
VAV Units,VAV/B/S11/023,entity:QNL_VAV_B_S11_023,matched,1 unit(s)
VAV Units,VAV/B/S11/024,entity:QNL_VAV_B_S11_024,matched,1 unit(s)
VAV Units,VAV/B/S11/025,entity:QNL_VAV_B_S11_025,matched,1 unit(s)
VAV Units,VAV/B/S11/026,entity:QNL_VAV_B_S11_026,matched,1 unit(s)
VAV Units,VAV/B/S11/027,entity:QNL_VAV_B_S11_027,matched,1 unit(s)
VAV Units,VAV/B/S11/028,entity:QNL_VAV_B_S11_028,matched,1 unit(s)
VAV Units,VAV/B/S11/029,entity:QNL_VAV_B_S11_029,matched,1 unit(s)
VAV Units,VAV/B/S11/030,entity:QNL_VAV_B_S11_030,matched,1 unit(s)
VAV Units,VAV/B/S11/031,entity:QNL_VAV_B_S11_031,matched,1 unit(s)
VAV Units,VAV/B/S11/032,entity:QNL_VAV_B_S11_032,matched,1 unit(s)
VAV Units,VAV/B/S11/033,entity:QNL_VAV_B_S11_033,matched,1 unit(s)
VAV Units,VAV/B/S11/034,entity:QNL_VAV_B_S11_034,matched,1 unit(s)
VAV Units,VAV/B/S11/035,entity:QNL_VAV_B_S11_035,matched,1 unit(s)
VAV Units,VAV/B/S11/036,entity:QNL_VAV_B_S11_036,matched,1 unit(s)
VAV Units,VAV/B/S11/037,entity:QNL_VAV_B_S11_037,matched,1 unit(s)
VAV Units,VAV/B/S11/038,entity:QNL_VAV_B_S11_038,matched,1 unit(s)
VAV Units,VAV/B/S11/039,entity:QNL_VAV_B_S11_039,matched,1 unit(s)
VAV Units,VAV/B/S11/040,entity:QNL_VAV_B_S11_040,matched,1 unit(s)
VAV Units,VAV/B/S11/041,entity:QNL_VAV_B_S11_041,matched,1 unit(s)
VAV Units,VAV/B/S11/042,entity:QNL_VAV_B_S11_042,matched,1 unit(s)
VAV Units,VAV/B/S11/043,entity:QNL_VAV_B_S11_043,matched,1 unit(s)
VAV Units,VAV/B/S11/044,entity:QNL_VAV_B_S11_044,matched,1 unit(s)
VAV Units,VAV/B/S11/045,entity:QNL_VAV_B_S11_045,matched,1 unit(s)
VAV Units,VAV/B/S11/046,entity:QNL_VAV_B_S11_046,matched,1 unit(s)
VAV Units,VAV/B/S13/001,entity:QNL_VAV_B_S13_001,matched,1 unit(s)
VAV Units,VAV/B/S13/002,entity:QNL_VAV_B_S13_002,matched,1 unit(s)
VAV Units,VAV/B/S13/003,entity:QNL_VAV_B_S13_003,matched,1 unit(s)
VAV Units,VAV/B/S13/004,entity:QNL_VAV_B_S13_004,matched,1 unit(s)
VAV Units,VAV/B/S13/005,entity:QNL_VAV_B_S13_005,matched,1 unit(s)
VAV Units,VAV/B/S13/007,entity:QNL_VAV_B_S13_007,matched,1 unit(s)
VAV Units,VAV/B/S13/008,entity:QNL_VAV_B_S13_008,matched,1 unit(s)
VAV Units,VAV/B/S14/001,entity:QNL_VAV_B_S14_001,matched,1 unit(s)
VAV Units,VAV/B/S14/002,entity:QNL_VAV_B_S14_002,matched,1 unit(s)
VAV Units,VAV/B/S14/003,entity:QNL_VAV_B_S14_003,matched,1 unit(s)
VAV Units,VAV/B/S14/004,entity:QNL_VAV_B_S14_004,matched,1 unit(s)
VAV Units,VAV/B/S14/005,entity:QNL_VAV_B_S14_005,matched,1 unit(s)
VAV Units,VAV/B/S14/006,entity:QNL_VAV_B_S14_006,matched,1 unit(s)
VAV Units,VAV/B/S14/007,entity:QNL_VAV_B_S14_007,matched,1 unit(s)
VAV Units,VAV/B/S14/008,entity:QNL_VAV_B_S14_008,matched,1 unit(s)
VAV Units,VAV/B/S14/009,entity:QNL_VAV_B_S14_009,matched,1 unit(s)
VAV Units,VAV/B/S14/010,entity:QNL_VAV_B_S14_010,matched,1 unit(s)
VAV Units,VAV/B/S14/011,entity:QNL_VAV_B_S14_011,matched,1 unit(s)
VAV Units,VAV/B/S14/012,entity:QNL_VAV_B_S14_012,matched,1 unit(s)
VAV Units,VAV/B/S14/013,entity:QNL_VAV_B_S14_013,matched,1 unit(s)
VAV Units,VAV/B/S14/014,entity:QNL_VAV_B_S14_014,matched,1 unit(s)
VAV Units,VAV/B/S14/015,entity:QNL_VAV_B_S14_015,matched,1 unit(s)
VAV Units,VAV/B/S14/016,entity:QNL_VAV_B_S14_016,matched,1 unit(s)
VAV Units,VAV/B/S15/001,entity:QNL_VAV_B_S15_001,matched,1 unit(s)
VAV Units,VAV/B/S15/002,entity:QNL_VAV_B_S15_002,matched,1 unit(s)
VAV Units,VAV/B/S15/003,entity:QNL_VAV_B_S15_003,matched,1 unit(s)
VAV Units,VAV/B/S15/004,entity:QNL_VAV_B_S15_004,matched,1 unit(s)
VAV Units,VAV/B/S15/005,entity:QNL_VAV_B_S15_005,matched,1 unit(s)
VAV Units,VAV/B/S15/006,entity:QNL_VAV_B_S15_006,matched,1 unit(s)
VAV Units,VAV/B/S15/007,entity:QNL_VAV_B_S15_007,matched,1 unit(s)
VAV Units,VAV/B/S15/008,entity:QNL_VAV_B_S15_008,matched,1 unit(s)
VAV Units,VAV/B/S15/009,entity:QNL_VAV_B_S15_009,matched,1 unit(s)
VAV Units,VAV/B/S15/010,entity:QNL_VAV_B_S15_010,matched,1 unit(s)
VAV Units,VAV/B/S15/011,entity:QNL_VAV_B_S15_011,matched,1 unit(s)
VAV Units,VAV/B/S15/012,entity:QNL_VAV_B_S15_012,matched,1 unit(s)
VAV Units,VAV/1F/S11/023,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S11/024,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S11/025,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/013,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/014,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/015,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/016,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/017,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/018,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/019,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/020,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/026,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/027,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/028,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/029,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/030,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/031,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/032,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/033,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/034,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/035,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/036,,unmatched,no ontology entity for this tag
VAV Units,VAV/1F/S15/037,,unmatched,no ontology entity for this tag
VAV Units,VAV/B/S14/017,,unmatched,no ontology entity for this tag
VAV Units,VAV/B/S14/018,,unmatched,no ontology entity for this tag
VAV Units,VAV/B/S14/019,,unmatched,no ontology entity for this tag
VAV Units,VAV/B/S14/020,,unmatched,no ontology entity for this tag
VAV Units,VAV/B/S14/022,,unmatched,no ontology entity for this tag
VAV Units,VAV/B/S14/023,,unmatched,no ontology entity for this tag
VAV Units,VAV/B/S14/024,,unmatched,no ontology entity for this tag
VAV Units,VAV/B/S14/025,,unmatched,no ontology entity for this tag
VAV Units,VAV/B/S14/026,,unmatched,no ontology entity for this tag
VAV Units,VAV/B/S14/027,,unmatched,no ontology entity for this tag
VAV Units,VAV/B/S14/028,,unmatched,no ontology entity for this tag
VAV Units,VAV/B/S14/029,,unmatched,no ontology entity for this tag
VAV Units,VAV/B/S14/030,,unmatched,no ontology entity for this tag
VAV Units,VAV/B/S14/031,,unmatched,no ontology entity for this tag
VAV Units,VAV/B/S21,,unmatched,no ontology entity for this tag
DX Units,DX/B/01,entity:QNL_DX_B01,matched,1 unit(s)
DX Units,DX/B/02,entity:QNL_DX_B02,matched,1 unit(s)
DX Units,DX/B/03,entity:QNL_DX_B03,matched,1 unit(s)
DX Units,DX/B/04,entity:QNL_DX_B04,matched,1 unit(s)
DX Units,DX/B/05,entity:QNL_DX_B05,matched,1 unit(s)
DX Units,DX/B/06,entity:QNL_DX_B06,matched,1 unit(s)
DX Units,DX/B/07,entity:QNL_DX_B07,matched,1 unit(s)
DX Units,DX/B/08,entity:QNL_DX_B08,matched,1 unit(s)
DX Units,DX/B/09,entity:QNL_DX_B09,matched,1 unit(s)
DX Units,DX/B/10,entity:QNL_DX_B10,matched,1 unit(s)
DX Units,DX/B/11,entity:QNL_DX_B11,matched,1 unit(s)
DX Units,DX/B/12,entity:QNL_DX_B12,matched,1 unit(s)
DX Units,DX/B/13,entity:QNL_DX_B13,matched,1 unit(s)
DX Units,DX/B/14,entity:QNL_DX_B14,matched,1 unit(s)
DX Units,DX/B/15,entity:QNL_DX_B15,matched,1 unit(s)
DX Units,DX/B/16,entity:QNL_DX_B16,matched,1 unit(s)
Heat Exchangers,PHX/B/01,entity:QNL_HEX01,matched,1 unit(s)
Heat Exchangers,PHX/B/02,entity:QNL_HEX02,matched,1 unit(s)
Heat Exchangers,PHX/B/03,entity:QNL_HEX03,matched,1 unit(s)
Heat Exchangers,PHX/B/04,entity:QNL_HEX04,matched,1 unit(s)
Heat Exchangers,PHX/B/05,entity:QNL_HEX05,matched,1 unit(s)
Pumps,CHWP/B/01,entity:QNL_CHW_P01,matched,1 unit(s)
Pumps,CHWP/B/02,entity:QNL_CHW_P02,matched,1 unit(s)
Pumps,CHWP/B/03,entity:QNL_CHW_P03,matched,1 unit(s)
Pumps,CHWP/B/04,entity:QNL_CHW_P04,matched,1 unit(s)
Generators,GENERATOR SET,entity:QNL_ELEC_Gen,matched,1 unit(s)
Exhaust Fans,EF/2/01,entity:QNL_EF_201,matched,1 unit(s)
Exhaust Fans,EF/B/10,entity:QNL_EF_B10,matched,1 unit(s)
Exhaust Fans,EF/B/11,entity:QNL_EF_B11,matched,1 unit(s)
Exhaust Fans,EF/B/12,entity:QNL_EF_B12,matched,1 unit(s)
Exhaust Fans,EF/B/13,entity:QNL_EF_B13,matched,1 unit(s)
Exhaust Fans,EF/B/14,entity:QNL_EF_B14,matched,1 unit(s)
Exhaust Fans,EF/B/15,entity:QNL_EF_B15,matched,1 unit(s)
Exhaust Fans,EF/B/16,entity:QNL_EF_B16,matched,1 unit(s)
Exhaust Fans,EF/B/5,entity:QNL_EF_B05,matched,1 unit(s)
Exhaust Fans,EF/B/6,entity:QNL_EF_B06,matched,1 unit(s)
Exhaust Fans,EF/B/7,entity:QNL_EF_B07,matched,1 unit(s)
Exhaust Fans,EF/B/8,entity:QNL_EF_B08,matched,1 unit(s)
Exhaust Fans,EF/B/9,entity:QNL_EF_B09,matched,1 unit(s)
Exhaust Fans,EF/RP/1,entity:QNL_EF_RP01,matched,1 unit(s)
Exhaust Fans,EF/RP/2,entity:QNL_EF_RP02,matched,1 unit(s)
Exhaust Fans,EF/RP/3,entity:QNL_EF_RP03,matched,1 unit(s)
Exhaust Fans,KEF_101,entity:QNL_KEF_101,matched,1 unit(s)
Exhaust Fans,KEF_B019,entity:QNL_KEF_B019,matched,1 unit(s)
Exhaust Fans,KEF_B020,entity:QNL_KEF_B020,matched,1 unit(s)
Exhaust Fans,TEF_101C,entity:QNL_TEF_101C,matched,1 unit(s)
Exhaust Fans,TEF_102C,entity:QNL_TEF_102C,matched,1 unit(s)
Exhaust Fans,TEF_B01A,entity:QNL_TEF_B01A,matched,1 unit(s)
Exhaust Fans,TEF_B01B,entity:QNL_TEF_B01B,matched,1 unit(s)
Exhaust Fans,TEF_B02A,entity:QNL_TEF_B02A,matched,1 unit(s)
Exhaust Fans,TEF_B02B,entity:QNL_TEF_B02B,matched,1 unit(s)
Exhaust Fans,TEF_B03A,entity:QNL_TEF_B03A,matched,1 unit(s)
Exhaust Fans,TEF_B03B,entity:QNL_TEF_B03B,matched,1 unit(s)
Exhaust Fans,EF/B/4,,unmatched,no ontology entity for this tag
Exhaust Fans,EF/BV/01,,unmatched,no ontology entity for this tag
Exhaust Fans,EF/BV/02,,unmatched,no ontology entity for this tag
Exhaust Fans,EF/RP/10,,unmatched,no ontology entity for this tag
Exhaust Fans,EF/RP/11,,unmatched,no ontology entity for this tag
Exhaust Fans,EF/RP/12,,unmatched,no ontology entity for this tag
Exhaust Fans,EF/RP/4,,unmatched,no ontology entity for this tag
Exhaust Fans,EF/RP/5,,unmatched,no ontology entity for this tag
Exhaust Fans,EF/RP/6,,unmatched,no ontology entity for this tag
Exhaust Fans,EF/RP/7,,unmatched,no ontology entity for this tag
Exhaust Fans,EF/RP/8,,unmatched,no ontology entity for this tag
Exhaust Fans,EF/RP/9,,unmatched,no ontology entity for this tag
FCU,1F/02-03,entity:QNL_FCU_1F_002;entity:QNL_FCU_1F_003,matched,2 unit(s)
FCU,1F/04-54,entity:QNL_FCU_1F_004;entity:QNL_FCU_1F_005;entity:QNL_FCU_1F_006;entity:QNL_FCU_1F_007;entity:QNL_FCU_1F_008;entity:QNL_FCU_1F_009;entity:QNL_FCU_1F_010;entity:QNL_FCU_1F_011;entity:QNL_FCU_1F_012;entity:QNL_FCU_1F_013;entity:QNL_FCU_1F_014;entity:QNL_FCU_1F_015;entity:QNL_FCU_1F_016;entity:QNL_FCU_1F_017;entity:QNL_FCU_1F_018;entity:QNL_FCU_1F_019;entity:QNL_FCU_1F_020;entity:QNL_FCU_1F_021;entity:QNL_FCU_1F_022;entity:QNL_FCU_1F_023;entity:QNL_FCU_1F_024;entity:QNL_FCU_1F_025;entity:QNL_FCU_1F_026;entity:QNL_FCU_1F_027;entity:QNL_FCU_1F_028;entity:QNL_FCU_1F_029;entity:QNL_FCU_1F_030;entity:QNL_FCU_1F_031;entity:QNL_FCU_1F_032;entity:QNL_FCU_1F_033;entity:QNL_FCU_1F_034;entity:QNL_FCU_1F_035;entity:QNL_FCU_1F_036;entity:QNL_FCU_1F_037;entity:QNL_FCU_1F_038;entity:QNL_FCU_1F_039;entity:QNL_FCU_1F_040;entity:QNL_FCU_1F_041;entity:QNL_FCU_1F_042;entity:QNL_FCU_1F_043;entity:QNL_FCU_1F_044;entity:QNL_FCU_1F_045;entity:QNL_FCU_1F_046;entity:QNL_FCU_1F_047;entity:QNL_FCU_1F_048;entity:QNL_FCU_1F_049;entity:QNL_FCU_1F_050;entity:QNL_FCU_1F_051;entity:QNL_FCU_1F_052;entity:QNL_FCU_1F_053;entity:QNL_FCU_1F_054,matched,51 unit(s)
FCU,1F/55,entity:QNL_FCU_1F_055,matched,1 unit(s)
FCU,1F/56,entity:QNL_FCU_1F_056,matched,1 unit(s)
FCU,1F/57-58,entity:QNL_FCU_1F_057;entity:QNL_FCU_1F_058,matched,2 unit(s)
FCU,2F/05,entity:QNL_FCU_2F_005,matched,1 unit(s)
FCU,B/02,entity:QNL_FCU_B_002,matched,1 unit(s)
FCU,"B/03,04",entity:QNL_FCU_B_003;entity:QNL_FCU_B_004,matched,2 unit(s)
FCU,"B/06,08,17,24",entity:QNL_FCU_B_006;entity:QNL_FCU_B_008;entity:QNL_FCU_B_017;entity:QNL_FCU_B_024,matched,4 unit(s)
