sheet,tag,entity,status,detail
AHU,AHU-001,entity:QNL_AHU_B_001,matched,1 unit(s)
AHU,AHU-002,entity:QNL_AHU_B_002,matched,1 unit(s)
AHU,AHU-003,entity:QNL_AHU_B_003,matched,1 unit(s)
AHU,AHU-004,entity:QNL_AHU_B_004,matched,1 unit(s)
AHU,AHU-005,entity:QNL_AHU_B_005,matched,1 unit(s)
AHU,AHU-006,entity:QNL_AHU_B_006,matched,1 unit(s)
AHU,AHU-007,entity:QNL_AHU_B_007,matched,1 unit(s)
AHU,AHU-008,entity:QNL_AHU_B_008,matched,1 unit(s)
AHU,AHU-009,entity:QNL_AHU_B_009,matched,1 unit(s)
AHU,AHU-010,entity:QNL_AHU_B_010,matched,1 unit(s)
AHU,AHU-011,entity:QNL_AHU_B_011,matched,1 unit(s)
AHU,AHU-012,entity:QNL_AHU_B_012,matched,1 unit(s)
AHU,AHU-013,entity:QNL_AHU_B_013,matched,1 unit(s)
AHU,AHU-014,entity:QNL_AHU_B_014,matched,1 unit(s)
AHU,AHU-015,entity:QNL_AHU_B_015,matched,1 unit(s)
CAV Units,CAV/1F/S11/001,entity:QNL_CAV_1F_S11_001,matched,1 unit(s)
CAV Units,CAV/1F/S11/002,entity:QNL_CAV_1F_S11_002,matched,1 unit(s)
CAV Units,CAV/1F/S11/006,entity:QNL_CAV_1F_S11_006,matched,1 unit(s)
CAV Units,CAV/1F/S11/007,entity:QNL_CAV_1F_S11_007,matched,1 unit(s)
CAV Units,CAV/1F/S11/008,entity:QNL_CAV_1F_S11_008,matched,1 unit(s)
CAV Units,CAV/1F/S11/009,entity:QNL_CAV_1F_S11_009,matched,1 unit(s)
CAV Units,CAV/1F/S15/002,entity:QNL_CAV_1F_S15_002,matched,1 unit(s)
CAV Units,CAV/1F/S15/004,entity:QNL_CAV_1F_S15_004,matched,1 unit(s)
CAV Units,CAV/1F/S15/005,entity:QNL_CAV_1F_S15_005,matched,1 unit(s)
CAV Units,CAV/1F/S15/006,entity:QNL_CAV_1F_S15_006,matched,1 unit(s)
CAV Units,CAV/B/S12/001,entity:QNL_CAV_B_S12_001,matched,1 unit(s)
CAV Units,CAV/B/S12/002,entity:QNL_CAV_B_S12_002,matched,1 unit(s)
CAV Units,CAV/B/S12/003,entity:QNL_CAV_B_S12_003,matched,1 unit(s)
CAV Units,CAV/B/S13/001,entity:QNL_CAV_B_S13_001,matched,1 unit(s)
CAV Units,CAV/B/S13/002,entity:QNL_CAV_B_S13_002,matched,1 unit(s)
CAV Units,CAV/B/S13/003,entity:QNL_CAV_B_S13_003,matched,1 unit(s)
CAV Units,CAV/B/S13/004,entity:QNL_CAV_B_S13_004,matched,1 unit(s)
CAV Units,CAV/B/S13/005,entity:QNL_CAV_B_S13_005,matched,1 unit(s)
CAV Units,CAV/B/S13/006,entity:QNL_CAV_B_S13_006,matched,1 unit(s)
CAV Units,CAV/B/S13/007,entity:QNL_CAV_B_S13_007,matched,1 unit(s)
CAV Units,CAV/B/S13/008,entity:QNL_CAV_B_S13_008,matched,1 unit(s)
CAV Units,CAV/B/S13/012,entity:QNL_CAV_B_S13_012,matched,1 unit(s)
