point_entity,timeseries_id,reason
entity:QNL_ELEC-VCB-11KVIF1-Meter_MW-Daily,QNL_ELEC_VCB_11KVIF1_Meter.MWDaily,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVIF1-Meter_MW-Monthly,QNL_ELEC_VCB_11KVIF1_Meter.MWMonthly,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVIF2-Meter_Electric-Power-Sensor,QNL_ELEC_VCB_11KVIF2_Meter.kWhpreviousdatamonthly,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVIF2-Meter_Electric-Power-Sensor-k-Whpreviousdatadaily,QNL_ELEC_VCB_11KVIF2_Meter.kWhpreviousdatadaily,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVIF2-Meter_KW-Daily,QNL_ELEC_VCB_11KVIF2_Meter.KWDaily,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVIF2-Meter_KW-Monthly,QNL_ELEC_VCB_11KVIF2_Meter.KWMonthly,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVIF2-Meter_MW-Daily,QNL_ELEC_VCB_11KVIF2_Meter.MWDaily,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVIF2-Meter_MW-Monthly,QNL_ELEC_VCB_11KVIF2_Meter.MWMonthly,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVOF1-Meter_Electric-Power-Sensor,QNL_ELEC_VCB_11KVOF1_Meter.kWhpreviousdatamonthly,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVOF1-Meter_Electric-Power-Sensor-k-Whpreviousdatadaily,QNL_ELEC_VCB_11KVOF1_Meter.kWhpreviousdatadaily,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVOF1-Meter_KW-Daily,QNL_ELEC_VCB_11KVOF1_Meter.KWDaily,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVOF1-Meter_KW-Monthly,QNL_ELEC_VCB_11KVOF1_Meter.KWMonthly,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVOF1-Meter_MW-Daily,QNL_ELEC_VCB_11KVOF1_Meter.MWDaily,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVOF1-Meter_MW-Monthly,QNL_ELEC_VCB_11KVOF1_Meter.MWMonthly,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVOF2-Meter_Electric-Power-Sensor,QNL_ELEC_VCB_11KVOF2_Meter.kWhpreviousdatadaily,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVOF2-Meter_Electric-Power-Sensor-k-Whpreviousdatamonthly,QNL_ELEC_VCB_11KVOF2_Meter.kWhpreviousdatamonthly,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVOF2-Meter_KW-Daily,QNL_ELEC_VCB_11KVOF2_Meter.KWDaily,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVOF2-Meter_KW-Monthly,QNL_ELEC_VCB_11KVOF2_Meter.KWMonthly,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVOF2-Meter_MW-Daily,QNL_ELEC_VCB_11KVOF2_Meter.MWDaily,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVOF2-Meter_MW-Monthly,QNL_ELEC_VCB_11KVOF2_Meter.MWMonthly,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVOF3-Meter_Electric-Power-Sensor,QNL_ELEC_VCB_11KVOF3_Meter.kWhpreviousdatadaily,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVOF3-Meter_Electric-Power-Sensor-k-Whpreviousdatamonthly,QNL_ELEC_VCB_11KVOF3_Meter.kWhpreviousdatamonthly,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVOF3-Meter_KW-Daily,QNL_ELEC_VCB_11KVOF3_Meter.KWDaily,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVOF3-Meter_KW-Monthly,QNL_ELEC_VCB_11KVOF3_Meter.KWMonthly,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVOF3-Meter_MW-Daily,QNL_ELEC_VCB_11KVOF3_Meter.MWDaily,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_ELEC-VCB-11KVOF3-Meter_MW-Monthly,QNL_ELEC_VCB_11KVOF3_Meter.MWMonthly,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-101C_Fail-Start-Alarm,QNL_TEF_101C.FTST,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-101C_Fail-Stop-Alarm,QNL_TEF_101C.FTSP,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-101C_Fault-Reset-Command,QNL_TEF_101C.FltRst,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-101C_Remote-Status,QNL_TEF_101C.RemSts,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-101C_Run-Time,QNL_TEF_101C.RuntimeMtr,not on Selected_PARA_OS_Data_Points_v4.0
entity:QNL_TEF-101C_Start-Count,QNL_TEF_101C.StartsCtr,not on Selected_PARA_OS_Data_Points_v4.0
